Episodes,Rewards
1,-1673.4088134765625
2,920.5036010742188
3,-1567.0655517578125
4,-1179.436279296875
5,-1219.5255126953125
6,938.6902465820312
7,-1263.8695068359375
8,-1133.665771484375
9,-1207.82470703125
10,-1196.225830078125
11,-1224.70361328125
12,-1098.114990234375
13,-1340.0450439453125
14,-1171.8636474609375
15,-1332.4696044921875
16,-1156.4232177734375
17,-1330.6474609375
18,-1244.6180419921875
19,-1315.438720703125
20,-1053.6434326171875
21,-1266.0631103515625
22,1000.0
23,-1271.1263427734375
24,-1133.5738525390625
25,-1370.2564697265625
26,-1471.6021728515625
27,-1750.505859375
28,-1361.56005859375
29,-1226.525634765625
30,-1271.8026123046875
31,-1766.81787109375
32,-1335.0902099609375
33,-1144.663818359375
34,-1227.7464599609375
35,-1268.8974609375
36,-1332.6419677734375
37,-1131.6650390625
38,-1275.3323974609375
39,-904.5178833007812
40,-1255.8948974609375
41,-1159.921630859375
42,-1340.1783447265625
43,-1243.7960205078125
44,-1598.542236328125
45,-1153.3004150390625
46,-1370.5986328125
47,1000.0
48,-1277.81005859375
49,-1188.48291015625
50,-1375.8094482421875
51,-1261.9512939453125
52,-1226.0810546875
53,-1332.501953125
54,-1295.85693359375
55,-1348.6103515625
56,-960.4091186523438
57,-1402.9151611328125
58,-1124.145751953125
59,-1345.954833984375
60,-1257.498291015625
61,-1280.17236328125
62,-1032.6781005859375
63,-1294.8507080078125
64,973.5690307617188
65,-1268.677490234375
66,1000.0
67,-1233.240966796875
68,992.2326049804688
69,-1339.2467041015625
70,-1225.4085693359375
71,-1385.7320556640625
72,-1128.1650390625
73,-1282.954345703125
74,-1151.089111328125
75,-1346.7352294921875
76,1000.0
77,-1335.348388671875
78,-1153.5140380859375
79,-1319.3533935546875
80,-993.603271484375
81,-1295.318115234375
82,-1155.3411865234375
83,-1298.8739013671875
84,-1208.2779541015625
85,-1368.72900390625
86,-1237.751708984375
87,-1294.9808349609375
88,1044.80322265625
89,-1269.52978515625
90,-1231.8392333984375
91,-1298.8673095703125
92,-1128.5576171875
93,-1462.5101318359375
94,-1264.7760009765625
95,-1919.4298095703125
96,-1258.44970703125
97,-1251.37744140625
98,-1082.2762451171875
99,-1390.7623291015625
100,-1113.5914306640625
