Episodes,Rewards
1,-1467.182861328125
2,-960.0469970703125
3,-1222.5816650390625
4,-1206.0384521484375
5,-1130.77392578125
6,-1141.413330078125
7,-1143.0255126953125
8,-1084.4302978515625
9,-1104.5728759765625
10,-954.371826171875
11,-1078.521728515625
12,-1296.43017578125
13,-1259.16015625
14,-1349.110107421875
15,-1097.595458984375
16,-1070.7445068359375
17,1000.0
18,-1102.8533935546875
19,1179.390380859375
20,-989.8511962890625
21,-1326.7554931640625
22,-1063.4991455078125
23,-1236.20703125
24,-881.6217651367188
25,-1075.8804931640625
26,-1181.4776611328125
27,-917.4012451171875
28,-1777.7593994140625
29,-1039.1986083984375
30,-940.030029296875
31,-1121.84228515625
32,-1586.37109375
33,-1250.97900390625
34,-1313.80078125
35,-1114.53515625
36,-1357.095458984375
37,-1324.119873046875
38,1117.5450439453125
39,-1089.861328125
40,-1338.0230712890625
41,-1345.482666015625
42,-854.3292236328125
43,-1324.770263671875
44,-1667.9444580078125
45,-1214.289794921875
46,-1434.813232421875
47,-1628.4793701171875
48,-1723.9210205078125
49,-1682.0186767578125
50,-957.669189453125
51,-1233.1572265625
52,814.2484741210938
53,-1322.708740234375
54,-1168.17578125
55,-1473.9002685546875
56,-1094.6669921875
57,-1442.2769775390625
58,898.2659301757812
59,1126.2349853515625
60,-1047.7099609375
61,-1037.6611328125
62,-998.39794921875
63,-925.7982177734375
64,988.9839477539062
65,979.1136474609375
66,-1282.7943115234375
67,1070.7425537109375
68,-1086.42236328125
69,-1347.91845703125
70,-1239.1009521484375
71,-910.2847900390625
72,-1215.0487060546875
73,916.3949584960938
74,-1156.8402099609375
75,1149.9417724609375
76,-974.4220581054688
77,-874.8781127929688
78,-978.2617797851562
79,1390.4149169921875
80,-914.5464477539062
81,863.6415405273438
