Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,1.0
18,1.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,2.0
36,2.0
37,2.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,3.0
50,3.0
51,3.0
52,4.0
53,4.0
54,4.0
55,4.0
56,4.0
57,4.0
58,5.0
59,6.0
60,6.0
61,6.0
62,6.0
63,6.0
64,7.0
65,8.0
66,8.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,9.0
73,10.0
74,10.0
75,11.0
76,11.0
77,11.0
78,11.0
79,12.0
80,12.0
81,13.0
