Episodes,Rewards
1,1030.0
2,1113.0
3,-1369.0
4,-1431.0
5,1067.0
6,-1380.0
7,-1550.0
8,-1523.0
9,-1460.0
10,-1400.0
11,-1309.0
12,-1460.0
13,-1390.0
14,-1400.0
15,1055.0
16,-1354.0
17,1081.0
18,-1296.0
19,1043.0
20,-1410.0
21,-1363.0
22,-1244.0
23,-1410.0
24,1015.0
25,1073.0
26,-1545.0
27,-1430.0
28,-1295.0
29,1026.0
30,-1420.0
31,-1405.0
32,-1313.0
33,-1293.0
34,-1395.0
35,-1393.0
36,1062.0
37,-1270.0
38,-1455.0
39,1056.0
40,-1465.0
41,-1535.0
42,-1429.0
43,-1535.0
44,-1460.0
45,-1410.0
46,-1339.0
47,1023.0
48,-1395.0
49,1043.0
50,1017.0
51,-1363.0
52,-1208.0
53,-1403.0
54,-1490.0
55,-1465.0
56,-1501.0
57,-2500.0
58,-2789.0
59,-1230.0
60,-1058.0
61,-1220.0
62,-1270.0
63,1115.0
64,-1285.0
65,-1220.0
66,-1240.0
67,-1270.0
68,-1285.0
69,1095.0
70,-1225.0
71,-1220.0
72,-1255.0
73,-1259.0
74,-1241.0
75,-1263.0
76,-1120.0
77,-1225.0
78,-1240.0
79,-1278.0
80,-1215.0
81,-1225.0
82,1089.0
83,-1235.0
84,-1183.0
85,-1245.0
86,-1265.0
87,-1255.0
88,-1179.0
89,-1245.0
90,-1235.0
91,1129.0
92,-1230.0
93,-1255.0
94,-1230.0
95,-1280.0
96,-1220.0
97,1031.0
98,-1243.0
99,1046.0
100,-1245.0
101,-1285.0
102,-1235.0
103,-1245.0
104,1074.0
105,-1122.0
106,-1245.0
107,-1260.0
108,1114.0
109,1068.0
110,-1240.0
111,-1220.0
112,-1083.0
113,-1275.0
114,-1158.0
115,-1240.0
116,-1260.0
117,-979.0
118,-1300.0
119,-1235.0
120,-1235.0
121,1031.0
122,-1245.0
123,-1150.0
124,-1265.0
125,-1265.0
126,1021.0
127,-734.0
128,1021.0
129,-821.0
130,-889.0
131,-819.0
132,-851.0
133,-830.0
134,-873.0
135,-861.0
136,-897.0
137,-862.0
138,-842.0
139,-827.0
140,-842.0
141,-914.0
142,-775.0
143,-796.0
144,-846.0
145,-855.0
146,-893.0
147,-835.0
148,-861.0
149,-847.0
150,-974.0
151,-747.0
152,-684.0
153,-695.0
154,-684.0
155,-656.0
156,-657.0
157,-735.0
158,-688.0
159,-673.0
160,-668.0
161,-655.0
162,-698.0
163,-679.0
164,-686.0
165,-679.0
166,-668.0
167,-655.0
168,-630.0
169,-670.0
170,-660.0
171,-688.0
172,-711.0
173,-714.0
174,-682.0
175,-720.0
176,-681.0
177,-656.0
178,-660.0
179,-680.0
180,-700.0
181,-650.0
182,-691.0
183,-576.0
184,1052.0
185,1016.0
186,1069.0
187,1116.0
188,1121.0
189,1084.0
190,1081.0
191,992.0
192,1087.0
193,1041.0
194,1056.0
195,1129.0
196,1075.0
197,1111.0
198,1075.0
199,1077.0
200,922.0
201,1092.0
202,1003.0
203,1069.0
204,1017.0
205,1048.0
206,1029.0
207,1020.0
208,1049.0
209,1135.0
210,1165.0
211,1031.0
212,1153.0
213,-1227.0
214,1100.0
215,1136.0
216,1027.0
217,1122.0
218,1005.0
219,1138.0
220,-1496.0
221,1106.0
222,1070.0
223,1076.0
224,-1320.0
225,-1420.0
226,-1184.0
227,-1415.0
228,1067.0
229,1038.0
230,1059.0
231,1057.0
232,1038.0
233,1118.0
