Episodes,Cumulative Number of Goals
1,1.0
2,2.0
3,2.0
4,2.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,4.0
16,4.0
17,5.0
18,5.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,7.0
25,8.0
26,8.0
27,8.0
28,8.0
29,9.0
30,9.0
31,9.0
32,9.0
33,9.0
34,9.0
35,9.0
36,10.0
37,10.0
38,10.0
39,11.0
40,11.0
41,11.0
42,11.0
43,11.0
44,11.0
45,11.0
46,11.0
47,12.0
48,12.0
49,13.0
50,14.0
51,14.0
52,14.0
53,14.0
54,14.0
55,14.0
56,14.0
57,14.0
58,14.0
59,14.0
60,14.0
61,14.0
62,14.0
63,15.0
64,15.0
65,15.0
66,15.0
67,15.0
68,15.0
69,16.0
70,16.0
71,16.0
72,16.0
73,16.0
74,16.0
75,16.0
76,16.0
77,16.0
78,16.0
79,16.0
80,16.0
81,16.0
82,17.0
83,17.0
84,17.0
85,17.0
86,17.0
87,17.0
88,17.0
89,17.0
90,17.0
91,18.0
92,18.0
93,18.0
94,18.0
95,18.0
96,18.0
97,19.0
98,19.0
99,20.0
100,20.0
101,20.0
102,20.0
103,20.0
104,21.0
105,21.0
106,21.0
107,21.0
108,22.0
109,23.0
110,23.0
111,23.0
112,23.0
113,23.0
114,23.0
115,23.0
116,23.0
117,23.0
118,23.0
119,23.0
120,23.0
121,24.0
122,24.0
123,24.0
124,24.0
125,24.0
126,25.0
127,25.0
128,26.0
129,26.0
130,26.0
131,26.0
132,26.0
133,26.0
134,26.0
135,26.0
136,26.0
137,26.0
138,26.0
139,26.0
140,26.0
141,26.0
142,26.0
143,26.0
144,26.0
145,26.0
146,26.0
147,26.0
148,26.0
149,26.0
150,26.0
151,26.0
152,26.0
153,26.0
154,26.0
155,26.0
156,26.0
157,26.0
158,26.0
159,26.0
160,26.0
161,26.0
162,26.0
163,26.0
164,26.0
165,26.0
166,26.0
167,26.0
168,26.0
169,26.0
170,26.0
171,26.0
172,26.0
173,26.0
174,26.0
175,26.0
176,26.0
177,26.0
178,26.0
179,26.0
180,26.0
181,26.0
182,26.0
183,26.0
184,27.0
185,28.0
186,29.0
187,30.0
188,31.0
189,32.0
190,33.0
191,34.0
192,35.0
193,36.0
194,37.0
195,38.0
196,39.0
197,40.0
198,41.0
199,42.0
200,43.0
201,44.0
202,45.0
203,46.0
204,47.0
205,48.0
206,49.0
207,50.0
208,51.0
209,52.0
210,53.0
211,54.0
212,55.0
213,55.0
214,56.0
215,57.0
216,58.0
217,59.0
218,60.0
219,61.0
220,61.0
221,62.0
222,63.0
223,64.0
224,64.0
225,64.0
226,64.0
227,64.0
228,65.0
229,66.0
230,67.0
231,68.0
232,69.0
233,70.0
234,71.0
235,72.0
236,72.0
237,73.0
238,73.0
239,73.0
240,74.0
241,74.0
242,75.0
243,76.0
244,77.0
245,78.0
246,78.0
247,79.0
248,80.0
249,81.0
250,82.0
251,83.0
252,83.0
253,84.0
254,85.0
255,86.0
256,87.0
257,88.0
258,89.0
259,90.0
260,91.0
261,92.0
262,93.0
263,94.0
264,95.0
265,96.0
266,97.0
267,98.0
268,99.0
269,100.0
270,101.0
271,102.0
272,103.0
273,104.0
274,105.0
275,106.0
276,107.0
277,108.0
278,109.0
279,110.0
280,111.0
281,112.0
282,113.0
283,114.0
284,115.0
285,116.0
286,117.0
287,118.0
288,119.0
289,120.0
290,121.0
291,122.0
292,123.0
293,124.0
294,125.0
295,126.0
296,127.0
297,128.0
298,129.0
299,130.0
300,131.0
301,132.0
302,133.0
303,134.0
304,135.0
305,136.0
306,137.0
307,138.0
308,139.0
309,140.0
310,141.0
311,142.0
312,143.0
313,144.0
314,145.0
315,146.0
316,147.0
317,148.0
318,149.0
319,150.0
320,151.0
321,152.0
322,153.0
323,154.0
324,155.0
325,156.0
326,157.0
327,158.0
328,159.0
329,160.0
330,161.0
331,162.0
332,163.0
333,164.0
334,165.0
335,166.0
336,167.0
337,168.0
338,169.0
339,170.0
340,171.0
341,172.0
342,173.0
343,174.0
344,175.0
345,176.0
346,177.0
347,178.0
348,179.0
349,180.0
350,181.0
351,182.0
352,183.0
353,184.0
354,185.0
355,186.0
356,187.0
357,188.0
358,189.0
359,190.0
360,191.0
361,192.0
362,193.0
363,194.0
364,195.0
365,196.0
366,197.0
367,198.0
368,199.0
369,200.0
370,201.0
371,202.0
372,203.0
373,204.0
374,205.0
375,206.0
376,207.0
377,208.0
378,209.0
379,210.0
380,211.0
381,212.0
382,213.0
383,214.0
384,215.0
385,216.0
386,217.0
387,218.0
388,219.0
389,220.0
390,221.0
391,222.0
392,223.0
393,224.0
394,225.0
395,226.0
396,227.0
397,228.0
398,229.0
399,230.0
400,231.0
401,232.0
402,233.0
403,234.0
404,235.0
405,236.0
406,237.0
407,238.0
408,239.0
409,240.0
410,241.0
411,242.0
412,243.0
413,244.0
414,245.0
415,246.0
416,247.0
417,248.0
418,249.0
419,250.0
420,251.0
421,252.0
422,253.0
423,254.0
424,255.0
425,256.0
426,257.0
427,258.0
428,259.0
429,260.0
430,261.0
431,262.0
432,263.0
433,264.0
434,265.0
435,266.0
436,267.0
437,268.0
438,269.0
439,270.0
440,271.0
441,272.0
442,273.0
443,274.0
444,275.0
445,276.0
446,277.0
447,278.0
448,279.0
449,280.0
450,281.0
451,282.0
452,283.0
453,284.0
454,285.0
455,286.0
456,287.0
457,288.0
458,289.0
459,290.0
460,291.0
461,292.0
462,293.0
463,294.0
464,295.0
465,296.0
466,297.0
467,298.0
468,299.0
469,300.0
470,301.0
471,302.0
472,303.0
473,304.0
474,305.0
475,306.0
476,307.0
477,308.0
478,309.0
479,310.0
480,311.0
481,312.0
482,313.0
483,314.0
484,315.0
485,316.0
486,317.0
487,318.0
488,319.0
489,320.0
490,321.0
491,322.0
492,323.0
493,324.0
494,325.0
495,326.0
496,327.0
497,328.0
498,329.0
499,330.0
500,331.0
501,332.0
502,333.0
503,334.0
504,335.0
505,336.0
506,337.0
507,338.0
508,339.0
509,340.0
510,341.0
511,342.0
512,343.0
513,344.0
514,345.0
515,346.0
516,347.0
517,348.0
518,349.0
519,350.0
520,351.0
521,352.0
522,353.0
523,354.0
524,355.0
525,356.0
526,357.0
527,358.0
528,359.0
529,360.0
530,361.0
531,362.0
532,363.0
533,364.0
534,365.0
535,366.0
536,367.0
537,368.0
538,369.0
539,370.0
540,371.0
541,372.0
542,373.0
543,374.0
544,375.0
545,376.0
546,377.0
547,378.0
548,379.0
549,380.0
550,381.0
551,382.0
552,383.0
553,384.0
554,385.0
555,386.0
556,387.0
557,388.0
558,389.0
559,390.0
560,391.0
561,392.0
562,393.0
563,394.0
564,395.0
565,396.0
566,397.0
567,398.0
568,399.0
569,400.0
570,401.0
571,402.0
572,403.0
573,404.0
574,405.0
575,406.0
576,407.0
577,408.0
578,409.0
579,410.0
580,411.0
581,412.0
