Episodes,Rewards
1,-1545.0
2,-1750.0
3,-1455.0
4,-1560.0
5,-1460.0
6,-1418.0
7,-1540.0
8,-1515.0
9,-1475.0
10,1134.0
11,-1400.0
12,-1440.0
13,-1400.0
14,1111.0
15,-1480.0
16,-1415.0
17,1083.0
18,-1296.0
19,-1480.0
20,-1520.0
21,-1580.0
22,-1585.0
23,-1395.0
24,-1278.0
25,-1430.0
26,-1460.0
27,-1455.0
28,-1440.0
29,-1565.0
30,-1495.0
31,1120.0
32,-1406.0
33,-1440.0
34,-1460.0
35,-1460.0
36,-1500.0
37,-1575.0
38,-1545.0
39,-1166.0
40,-1485.0
41,-1590.0
42,-1491.0
43,-1292.0
44,-2190.0
45,-2500.0
46,-2245.0
47,-1225.0
48,-1255.0
49,-1290.0
50,-1230.0
51,1037.0
52,-1250.0
53,-1250.0
54,-855.0
55,-860.0
56,-805.0
57,-794.0
58,-858.0
59,-868.0
60,-803.0
61,-835.0
62,-794.0
63,-889.0
64,845.0
65,-852.0
66,-873.0
67,-819.0
68,-918.0
69,-824.0
70,-882.0
71,-820.0
72,-838.0
73,-806.0
74,-805.0
75,-852.0
76,-848.0
77,-806.0
78,-817.0
79,-848.0
80,-885.0
81,-879.0
82,-881.0
83,-879.0
84,-841.0
85,632.0
86,1024.0
87,1133.0
88,1073.0
89,1064.0
90,1063.0
91,1116.0
92,1099.0
93,1087.0
94,1121.0
95,1078.0
96,1053.0
97,1014.0
98,1089.0
99,1000.0
100,1072.0
101,1111.0
102,1106.0
103,1034.0
104,1059.0
105,1081.0
106,1061.0
107,1137.0
108,996.0
109,1097.0
110,1042.0
111,1017.0
112,1104.0
113,1091.0
114,1090.0
115,1050.0
116,1067.0
117,1149.0
118,1047.0
119,1076.0
120,1109.0
121,1030.0
122,1138.0
123,1087.0
124,1055.0
125,1084.0
126,1035.0
127,1069.0
128,1086.0
129,1082.0
130,1065.0
131,1069.0
132,1017.0
133,1083.0
134,1082.0
135,1117.0
136,1078.0
137,1111.0
138,1041.0
139,1081.0
140,1036.0
141,1140.0
142,1110.0
143,1140.0
144,1052.0
145,1107.0
146,1023.0
147,1062.0
148,1140.0
149,1119.0
150,1021.0
151,1129.0
152,1128.0
153,962.0
154,1087.0
155,1123.0
156,975.0
157,1009.0
158,1091.0
159,1041.0
160,992.0
161,1094.0
162,899.0
163,1070.0
164,1053.0
165,1132.0
166,1102.0
167,1113.0
168,1092.0
169,945.0
170,1005.0
171,1138.0
172,1040.0
173,1061.0
174,1039.0
175,1053.0
176,1077.0
177,1112.0
178,1033.0
179,1062.0
180,1059.0
181,1005.0
182,1122.0
183,1067.0
184,1103.0
185,1014.0
186,1117.0
187,995.0
188,1050.0
189,1096.0
190,1120.0
191,1113.0
192,1002.0
193,1085.0
194,1046.0
195,1092.0
196,1053.0
197,1090.0
198,980.0
199,1035.0
200,1111.0
201,1054.0
202,1054.0
203,1138.0
204,1047.0
205,1079.0
206,1130.0
207,958.0
208,1101.0
209,1101.0
210,1026.0
211,1070.0
212,1100.0
213,1119.0
214,1108.0
215,987.0
216,1065.0
217,1032.0
218,1102.0
219,1082.0
220,1100.0
221,1048.0
222,1071.0
223,1074.0
224,1024.0
225,1029.0
226,1069.0
227,974.0
228,1152.0
229,1043.0
230,1079.0
231,1161.0
232,1026.0
233,1114.0
234,1023.0
235,1090.0
236,1089.0
237,1103.0
238,1058.0
239,1095.0
240,1153.0
241,1076.0
242,974.0
243,1142.0
244,1038.0
245,996.0
246,1112.0
247,1045.0
248,1118.0
249,1102.0
250,1083.0
251,1108.0
252,1047.0
253,1036.0
254,1064.0
255,1098.0
256,1021.0
257,1095.0
258,998.0
259,1020.0
260,996.0
261,1109.0
262,982.0
263,1011.0
264,990.0
265,1098.0
266,1039.0
267,1103.0
268,1105.0
269,1114.0
270,997.0
271,1026.0
272,1070.0
273,1085.0
274,1094.0
275,1082.0
276,1112.0
277,1091.0
278,1015.0
279,1107.0
280,985.0
281,1089.0
282,1076.0
283,1005.0
284,1157.0
285,1053.0
286,1028.0
287,1114.0
288,1010.0
289,988.0
290,1106.0
291,1035.0
292,1053.0
293,1040.0
294,1087.0
295,1072.0
296,1121.0
297,1039.0
298,1030.0
299,1013.0
300,1077.0
301,1059.0
302,1043.0
303,1135.0
304,1119.0
305,996.0
306,1102.0
307,1069.0
308,1131.0
309,1133.0
310,988.0
311,1067.0
312,1008.0
313,1079.0
314,1110.0
315,1104.0
316,1067.0
317,1098.0
318,1088.0
319,1091.0
320,1082.0
321,1062.0
322,1091.0
323,1085.0
324,1115.0
325,1087.0
326,1013.0
327,1022.0
328,1093.0
329,1137.0
330,1007.0
331,1072.0
332,1073.0
333,1069.0
334,1169.0
335,1053.0
336,1066.0
337,1090.0
338,1167.0
339,1090.0
340,1065.0
341,1121.0
342,1057.0
343,1078.0
344,1109.0
345,1121.0
346,1079.0
347,1125.0
348,1056.0
349,1116.0
350,1083.0
351,1023.0
352,1084.0
353,1047.0
354,1063.0
355,1148.0
356,1063.0
357,1075.0
358,1027.0
359,1072.0
360,945.0
361,1077.0
362,1061.0
363,1117.0
364,1067.0
365,1139.0
366,991.0
367,1009.0
368,1092.0
369,1039.0
370,1105.0
371,1127.0
372,1105.0
373,1066.0
374,1081.0
375,1033.0
376,1066.0
377,1039.0
378,1033.0
379,1052.0
380,1045.0
381,1035.0
382,1099.0
383,1110.0
384,999.0
385,1117.0
386,1126.0
387,1047.0
388,1033.0
389,1094.0
390,1050.0
391,1014.0
392,1105.0
393,990.0
394,994.0
395,1093.0
396,986.0
397,1133.0
398,1033.0
399,1102.0
400,1010.0
401,1102.0
402,1070.0
403,1015.0
404,1082.0
405,1066.0
406,1024.0
407,1109.0
408,1136.0
409,1048.0
410,1087.0
411,1044.0
412,1133.0
413,1002.0
414,1059.0
415,993.0
416,1025.0
417,1112.0
418,1062.0
419,1001.0
420,1055.0
421,1054.0
422,1077.0
423,1083.0
424,1103.0
425,1025.0
426,1047.0
427,1108.0
428,1024.0
429,1078.0
430,1067.0
431,1103.0
432,1115.0
433,1085.0
434,1099.0
435,1107.0
436,1079.0
437,1115.0
438,1016.0
439,1079.0
440,1045.0
441,1167.0
442,1075.0
443,1127.0
444,1039.0
445,1115.0
446,1023.0
447,1109.0
448,1173.0
449,1057.0
450,993.0
451,1044.0
452,1142.0
453,1088.0
454,1019.0
455,1109.0
456,1068.0
457,1056.0
458,1091.0
459,1097.0
460,1096.0
461,1059.0
462,1083.0
463,1077.0
464,1008.0
465,1064.0
466,1117.0
467,1098.0
468,1063.0
469,1082.0
470,1079.0
471,1027.0
472,1096.0
473,1093.0
474,1090.0
475,1116.0
476,1021.0
477,1087.0
478,1076.0
479,1043.0
480,1073.0
481,1110.0
482,1107.0
483,1073.0
484,1100.0
485,1062.0
486,1133.0
487,1031.0
488,1077.0
489,1048.0
490,1099.0
491,1033.0
492,1079.0
493,1039.0
494,1056.0
495,1121.0
496,1081.0
497,1092.0
498,1110.0
499,1076.0
500,1026.0
501,1149.0
502,1057.0
503,1048.0
504,1135.0
505,1012.0
506,1029.0
507,1120.0
508,1016.0
509,1128.0
510,1001.0
511,1056.0
512,1135.0
513,1099.0
514,1053.0
515,1074.0
516,1101.0
517,1023.0
518,1120.0
519,1100.0
520,1029.0
521,1079.0
522,1034.0
523,1074.0
524,1066.0
525,1071.0
526,1071.0
527,1070.0
528,1022.0
529,1131.0
530,1112.0
531,1047.0
532,1090.0
533,1010.0
534,1023.0
535,1030.0
536,1095.0
537,1030.0
538,1067.0
539,1083.0
540,1025.0
541,1059.0
542,1090.0
543,1014.0
544,1105.0
545,1047.0
546,1078.0
547,1123.0
548,1059.0
549,1041.0
550,1086.0
551,1100.0
552,1041.0
553,1071.0
554,1078.0
555,1048.0
556,1115.0
557,1151.0
558,1056.0
559,1075.0
560,1130.0
561,1023.0
562,1129.0
563,994.0
564,1109.0
565,1080.0
566,1059.0
567,1029.0
568,1078.0
569,1059.0
570,1042.0
571,1018.0
572,1098.0
573,1074.0
