Episodes,Rewards
1,-1092.0
2,-1122.0
3,-942.0
4,-1049.0
5,-1184.0
6,-1006.0
7,-1176.0
8,1162.0
9,-1137.0
10,-1013.0
11,-280.0
12,-606.0
13,-1468.0
14,-2495.0
15,-1185.0
16,-1256.0
17,-1025.0
18,-1395.0
19,-311.0
20,-1270.0
21,-1209.0
22,1049.0
23,1099.0
24,-25.0
25,-99.0
26,-1.2256862191861728e-13
27,82.0
28,110.0
29,-4.0
30,-166.0
31,-95.0
32,1117.0
33,13.0
34,-1121.0
35,1097.0
36,1121.0
37,1099.0
38,-1144.0
39,1073.0
40,1094.0
41,95.0
42,-1126.0
43,151.0
44,1094.0
45,1195.0
46,95.0
47,1032.0
48,-912.0
49,-1144.0
50,-1105.0
51,-1065.0
52,-969.0
53,-1079.0
54,-1062.0
55,-1176.0
56,-1122.0
57,-1130.0
58,-1250.0
59,-1161.0
60,-1070.0
61,-1121.0
62,-1160.0
63,1019.0
64,-1119.0
65,-1135.0
66,-1029.0
67,1035.0
68,-1160.0
69,-763.0
70,1044.0
71,1029.0
72,-988.0
73,1076.0
74,-1140.0
75,1233.0
76,-1088.0
77,-1097.0
78,1065.0
79,1163.0
80,-1099.0
81,1200.0
82,1061.0
83,233.0
84,1075.0
85,176.0
86,-1185.0
87,-1026.0
88,1176.0
89,-1029.0
90,1081.0
91,-110.0
92,8.0
93,-72.0
94,-131.0
95,-139.0
96,991.0
97,-118.0
98,-109.0
99,-98.0
100,-35.0
101,-75.0
102,-74.0
103,-6.0
104,1143.0
105,1085.0
106,1049.0
107,1009.0
108,-54.0
109,-1061.0
110,1111.0
111,-23.0
112,1163.0
113,-958.0
114,1045.0
115,1103.0
116,-749.0
117,1168.0
118,-1081.0
119,-1007.0
120,1195.0
121,-32.0
122,-42.0
123,134.0
124,-1166.0
125,4.0
126,26.0
127,-257.0
128,-16.0
129,4.0
130,1017.0
131,-108.0
132,-98.0
133,1056.0
134,261.0
135,-114.0
