Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,2.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,4.0
33,4.0
34,4.0
35,5.0
36,6.0
37,7.0
38,7.0
39,8.0
40,9.0
41,9.0
42,9.0
43,9.0
44,10.0
45,11.0
46,11.0
47,12.0
48,12.0
49,12.0
50,12.0
51,12.0
52,12.0
53,12.0
54,12.0
55,12.0
56,12.0
57,12.0
58,12.0
59,12.0
60,12.0
61,12.0
62,12.0
63,13.0
64,13.0
65,13.0
66,13.0
67,14.0
68,14.0
69,14.0
70,15.0
71,16.0
72,16.0
73,17.0
74,17.0
75,18.0
76,18.0
77,18.0
78,19.0
79,20.0
80,20.0
81,21.0
82,22.0
83,22.0
84,23.0
85,23.0
86,23.0
87,23.0
88,24.0
89,24.0
90,25.0
91,25.0
92,25.0
93,25.0
94,25.0
95,25.0
96,26.0
97,26.0
98,26.0
99,26.0
100,26.0
101,26.0
102,26.0
103,26.0
104,27.0
105,28.0
106,29.0
107,30.0
108,30.0
109,30.0
110,31.0
111,31.0
112,32.0
113,32.0
114,33.0
115,34.0
116,34.0
117,35.0
118,35.0
119,35.0
120,36.0
121,36.0
122,36.0
123,36.0
124,36.0
125,36.0
126,36.0
127,36.0
128,36.0
129,36.0
130,37.0
131,37.0
132,37.0
133,38.0
134,38.0
135,38.0
136,38.0
137,39.0
138,39.0
139,40.0
140,40.0
141,41.0
142,41.0
143,42.0
144,42.0
145,42.0
146,42.0
147,42.0
148,42.0
149,42.0
150,42.0
151,42.0
152,43.0
153,43.0
154,44.0
155,45.0
156,45.0
157,45.0
158,45.0
159,45.0
160,45.0
161,45.0
162,46.0
163,46.0
164,46.0
165,46.0
166,46.0
167,46.0
168,46.0
169,46.0
170,46.0
171,46.0
172,47.0
173,47.0
174,47.0
175,47.0
176,47.0
177,47.0
178,47.0
179,47.0
180,47.0
181,47.0
182,47.0
183,47.0
184,47.0
185,47.0
186,47.0
187,47.0
188,47.0
189,47.0
190,47.0
191,47.0
192,47.0
193,48.0
194,48.0
195,49.0
196,49.0
197,49.0
198,49.0
199,49.0
200,49.0
201,49.0
202,49.0
203,50.0
204,50.0
205,50.0
206,50.0
207,50.0
208,51.0
209,52.0
210,53.0
211,53.0
212,53.0
213,54.0
214,54.0
215,54.0
216,55.0
217,56.0
218,56.0
219,56.0
220,56.0
221,56.0
222,56.0
223,56.0
224,56.0
225,56.0
226,57.0
227,58.0
228,59.0
229,59.0
230,59.0
231,59.0
232,59.0
233,59.0
234,59.0
235,59.0
236,60.0
237,60.0
238,60.0
239,61.0
240,62.0
241,63.0
242,63.0
243,63.0
244,64.0
245,64.0
