Episodes,Rewards
1,895.0
2,-1835.0
3,865.0
4,920.0
5,-2500.0
6,590.0
7,-490.0
8,-2500.0
9,-135.0
10,-2500.0
11,-2500.0
12,-3185.0
13,-2255.0
14,880.0
15,-1340.0
16,725.0
17,-2035.0
18,-1350.0
19,-1680.0
20,-1410.0
21,-2860.0
22,910.0
23,-1435.0
24,-1430.0
25,-1330.0
26,-1360.0
27,-1615.0
28,-1655.0
29,-2730.0
30,-1405.0
31,-1830.0
32,-1535.0
33,-1475.0
34,-1635.0
35,-1355.0
36,-1360.0
37,-1475.0
38,-1345.0
39,-1445.0
40,305.0
41,-1720.0
42,-2620.0
43,-2435.0
44,970.0
45,-1380.0
46,-340.0
47,870.0
48,-1555.0
49,860.0
50,-1400.0
51,-1395.0
52,-1350.0
53,-1430.0
54,905.0
55,-1755.0
56,-1310.0
57,-1335.0
58,-1390.0
59,-1315.0
60,-1575.0
61,945.0
62,-1425.0
63,-1770.0
64,-1935.0
65,-1375.0
66,-1370.0
67,-1510.0
68,-1365.0
69,-1365.0
70,-1940.0
71,525.0
72,-1550.0
73,685.0
74,-405.0
75,-1415.0
76,-1555.0
77,885.0
78,-1770.0
79,935.0
80,-2195.0
81,-1330.0
82,-2500.0
83,-1870.0
84,-3160.0
85,-1380.0
86,-2455.0
87,-1390.0
88,-1435.0
89,-1645.0
90,450.0
91,-1595.0
92,-1330.0
93,-1425.0
94,-1345.0
95,-1420.0
96,-2500.0
97,-2935.0
98,-1375.0
99,-1525.0
100,865.0
101,950.0
102,-1385.0
103,615.0
104,-1415.0
105,-2500.0
106,-3225.0
107,-1380.0
108,-3270.0
109,-2800.0
110,-1445.0
111,-2005.0
112,-1370.0
113,-130.0
114,880.0
115,-2265.0
116,-1675.0
117,0.0
118,-1405.0
119,-1375.0
120,-3390.0
121,-1365.0
122,-3185.0
123,925.0
124,-3125.0
125,-2845.0
126,-1330.0
127,-1505.0
128,-1485.0
129,-1425.0
130,925.0
131,-1675.0
132,-2050.0
133,655.0
134,400.0
135,-1335.0
136,-660.0
137,-2135.0
138,720.0
139,-1660.0
140,510.0
141,-1755.0
142,955.0
143,-2500.0
144,-2030.0
145,-1670.0
146,660.0
147,-1345.0
148,-1720.0
149,-1555.0
150,470.0
151,-1625.0
152,430.0
153,-1390.0
154,-1465.0
155,-1445.0
156,-1400.0
157,-2170.0
158,-2605.0
159,-1370.0
160,885.0
161,-2315.0
162,-2500.0
163,-2500.0
164,-740.0
165,-1485.0
166,-1750.0
167,850.0
168,-1340.0
169,-1435.0
170,-2075.0
171,-1460.0
172,-1465.0
173,-2500.0
174,-1365.0
175,905.0
176,-1350.0
177,895.0
178,-1555.0
179,-2260.0
180,-1335.0
181,-1890.0
182,-1845.0
183,-1365.0
184,-1470.0
185,335.0
186,-2445.0
187,-2980.0
188,-2760.0
189,885.0
190,-2370.0
191,-1640.0
192,-725.0
193,-2500.0
194,-1710.0
195,-2090.0
196,965.0
197,-1620.0
198,375.0
199,875.0
200,-1425.0
201,-1755.0
202,-2075.0
203,-1660.0
204,-2960.0
205,800.0
206,955.0
207,-2235.0
208,595.0
209,-3485.0
210,-2130.0
211,180.0
212,-2000.0
213,615.0
214,-1430.0
215,685.0
216,965.0
217,-1380.0
218,790.0
219,-2160.0
220,-1710.0
221,-1380.0
222,850.0
223,-2140.0
224,-1845.0
225,-2510.0
226,710.0
227,-3270.0
228,-1780.0
229,-1330.0
230,-1805.0
231,-1385.0
232,-1750.0
233,-1355.0
234,875.0
235,-2500.0
236,-2290.0
237,895.0
238,730.0
239,-1960.0
240,-1765.0
241,-2500.0
242,-2310.0
243,840.0
244,-2725.0
245,910.0
246,-1530.0
247,-2190.0
248,940.0
249,-1595.0
250,-1635.0
251,-1545.0
252,-1920.0
253,-2205.0
254,-2000.0
255,-1545.0
256,-2735.0
257,-1685.0
258,-2405.0
259,-2385.0
260,-1550.0
261,-1450.0
262,-2500.0
263,-1575.0
264,-2500.0
265,-1995.0
266,-2500.0
267,-1445.0
268,-2815.0
269,-2475.0
270,-2585.0
271,-1955.0
272,-2580.0
273,-1840.0
274,-1700.0
275,880.0
276,-2790.0
277,-3335.0
278,-2500.0
279,-3155.0
280,-1690.0
281,-2760.0
282,-2000.0
283,-2500.0
284,-2500.0
285,-2130.0
286,355.0
287,-2620.0
288,-3225.0
289,-2670.0
290,-1340.0
291,-1390.0
292,-1375.0
293,-1955.0
294,-2595.0
295,-1440.0
296,-1450.0
297,-2575.0
298,-1460.0
299,910.0
300,-2500.0
301,975.0
302,-1715.0
303,900.0
304,-1795.0
305,-1765.0
306,-1440.0
307,-2150.0
308,-1605.0
309,-3025.0
310,880.0
311,-1600.0
312,910.0
313,-2500.0
314,-3255.0
315,855.0
316,920.0
317,-1405.0
318,-1340.0
319,-2255.0
320,-2500.0
321,-1410.0
322,-2185.0
323,-1380.0
324,-2030.0
325,895.0
326,675.0
327,-1390.0
328,-1675.0
329,-2475.0
330,-2625.0
331,955.0
332,-1430.0
333,765.0
334,-2580.0
335,725.0
336,-1485.0
337,940.0
338,-1875.0
339,-2470.0
340,-1415.0
341,-1685.0
342,-2500.0
343,-2945.0
344,-2240.0
345,945.0
346,-3440.0
347,955.0
348,-3495.0
349,-2435.0
350,925.0
351,-15.0
352,870.0
353,620.0
354,-1800.0
355,-1590.0
356,915.0
357,-1570.0
358,-1555.0
359,-1375.0
360,-2500.0
361,-2435.0
362,-1410.0
363,-1360.0
364,370.0
365,830.0
366,-1340.0
367,-1595.0
368,-1440.0
369,680.0
370,-2500.0
371,-1775.0
372,-1505.0
373,-1580.0
374,-1920.0
375,810.0
376,-2500.0
377,935.0
378,-1395.0
379,-3360.0
380,-1835.0
381,-1765.0
382,-1610.0
383,-2105.0
384,-1860.0
385,430.0
386,535.0
387,-1570.0
388,-1570.0
389,-1350.0
390,-1395.0
391,835.0
392,745.0
393,-1710.0
394,-1945.0
395,-3160.0
396,930.0
397,935.0
398,-1850.0
399,375.0
400,-1525.0
401,-1520.0
402,-1715.0
403,60.0
404,-1485.0
405,875.0
406,760.0
407,-450.0
408,-1790.0
409,610.0
410,-1660.0
411,-3395.0
412,-1510.0
413,-1635.0
414,935.0
415,-1595.0
416,695.0
417,-1695.0
418,-2720.0
419,-2330.0
420,-1425.0
421,770.0
422,-2215.0
423,810.0
424,-1485.0
425,830.0
426,945.0
427,-2530.0
428,-1710.0
429,795.0
430,830.0
431,-1785.0
432,835.0
433,-1560.0
434,935.0
435,-2625.0
436,930.0
437,-2090.0
438,-1390.0
439,-1355.0
440,595.0
441,-2335.0
442,-1675.0
443,-3375.0
444,-660.0
445,890.0
446,-1790.0
447,930.0
448,-1820.0
449,850.0
450,-1470.0
451,-1650.0
452,-1620.0
453,-1800.0
454,-2120.0
455,930.0
456,-1630.0
457,-2800.0
458,-2635.0
459,-1880.0
460,-2640.0
461,750.0
462,-2500.0
463,-1570.0
464,900.0
465,910.0
466,-455.0
467,-2035.0
468,-1860.0
469,-2015.0
470,-1365.0
471,-1465.0
472,-2440.0
473,-1410.0
474,-3380.0
475,860.0
476,-1770.0
477,-2020.0
478,-2225.0
479,400.0
480,-475.0
481,-2660.0
482,960.0
483,-2045.0
484,-2115.0
485,-1570.0
486,-1710.0
487,685.0
488,600.0
489,955.0
490,870.0
491,875.0
492,-1415.0
493,-2355.0
494,-1675.0
495,-3210.0
496,-1345.0
497,-1535.0
498,-1390.0
499,-1915.0
500,-780.0
501,890.0
502,-1785.0
503,-1815.0
504,-1395.0
505,-2500.0
506,840.0
507,-2210.0
508,760.0
509,-2920.0
510,-2195.0
511,-1755.0
512,-1350.0
513,-1740.0
514,-2555.0
515,-2190.0
516,-1685.0
517,-1680.0
518,865.0
519,665.0
