Episodes,Rewards
1,-1299.0
2,-1390.0
3,-951.0
4,-1267.0
5,-1301.0
6,988.0
7,936.0
8,-1209.0
9,-1318.0
10,938.0
11,1007.0
12,-1342.0
13,1098.0
14,-1330.0
15,966.0
16,963.0
17,-1242.0
18,1092.0
19,-1283.0
20,946.0
21,1069.0
22,1112.0
23,1032.0
24,902.0
25,1116.0
26,1059.0
27,1049.0
28,1048.0
29,1102.0
30,962.0
31,994.0
32,1021.0
33,1089.0
34,976.0
35,934.0
36,1065.0
37,1032.0
38,1076.0
39,1002.0
40,1101.0
41,1037.0
42,1082.0
43,1112.0
44,1132.0
45,1030.0
46,1087.0
47,1031.0
48,1031.0
49,1051.0
50,1075.0
51,1031.0
52,1029.0
53,1137.0
54,1067.0
55,1029.0
56,1075.0
57,1090.0
58,1018.0
59,1113.0
60,1050.0
61,1075.0
62,1105.0
63,1080.0
64,1018.0
65,1056.0
66,1035.0
67,1088.0
68,986.0
69,1174.0
70,1049.0
71,1060.0
72,1124.0
73,-927.0
74,1048.0
75,1028.0
76,1005.0
77,980.0
78,-1012.0
79,1053.0
80,1123.0
81,1120.0
82,1104.0
83,1026.0
84,1130.0
85,1072.0
86,1011.0
87,1100.0
88,1077.0
89,1091.0
90,1051.0
91,1105.0
92,992.0
93,1082.0
94,1048.0
95,1056.0
96,1070.0
97,1074.0
98,861.0
99,1097.0
100,1034.0
101,1038.0
102,1081.0
103,1056.0
104,1090.0
105,1004.0
106,1066.0
107,1028.0
108,999.0
109,1088.0
110,999.0
111,1113.0
112,1048.0
113,1081.0
114,1019.0
115,1079.0
116,1061.0
117,1058.0
118,1059.0
119,1079.0
120,1027.0
121,1098.0
122,1118.0
123,1017.0
124,1148.0
125,1029.0
126,1026.0
127,1046.0
128,1070.0
129,1049.0
130,1058.0
131,1078.0
132,1082.0
133,1055.0
134,1079.0
135,1102.0
136,1031.0
137,1055.0
138,1072.0
139,1087.0
140,1026.0
141,1041.0
142,1150.0
143,1036.0
144,1002.0
145,1059.0
146,1107.0
147,1081.0
148,1032.0
149,1037.0
150,1085.0
151,1094.0
152,1133.0
153,1099.0
154,665.0
155,1156.0
156,1070.0
157,1095.0
158,1011.0
159,1043.0
160,1036.0
161,1002.0
162,1100.0
163,1051.0
164,1054.0
165,1103.0
166,1028.0
167,1079.0
168,999.0
169,1040.0
170,1072.0
171,1041.0
172,1060.0
173,1043.0
174,1105.0
175,1037.0
176,1021.0
177,1012.0
178,1001.0
179,1008.0
180,1106.0
181,1047.0
182,1069.0
183,1028.0
184,1025.0
185,1068.0
186,1006.0
187,1076.0
188,1136.0
189,1108.0
190,1055.0
191,1150.0
192,1079.0
193,1109.0
194,1131.0
195,1097.0
196,1056.0
197,1142.0
198,1043.0
199,1134.0
200,1082.0
201,1086.0
202,1072.0
203,1028.0
204,1125.0
205,1143.0
206,1078.0
207,990.0
208,1103.0
209,1072.0
210,1116.0
211,1101.0
212,1005.0
213,1133.0
214,1031.0
215,1123.0
216,1161.0
217,1023.0
218,1095.0
219,1105.0
220,1080.0
221,1084.0
222,1028.0
223,1006.0
224,1012.0
225,1034.0
226,1057.0
227,1024.0
228,1044.0
229,1050.0
230,1056.0
231,1008.0
232,1034.0
233,1127.0
234,1084.0
235,1138.0
236,1076.0
237,992.0
238,1095.0
239,1077.0
240,1083.0
241,1068.0
242,1125.0
243,1069.0
244,1038.0
245,1082.0
246,1025.0
247,1117.0
248,1019.0
249,1116.0
250,1000.0
251,1006.0
252,1048.0
253,1063.0
254,1015.0
255,1036.0
256,1047.0
257,1027.0
258,1029.0
259,1021.0
260,1095.0
261,1028.0
262,1077.0
263,1018.0
264,1056.0
265,1051.0
266,1091.0
267,1094.0
268,1084.0
269,1013.0
270,556.0
271,1067.0
272,1018.0
273,1124.0
274,1115.0
275,1089.0
276,1033.0
277,1084.0
278,1057.0
279,1066.0
280,1039.0
281,1054.0
282,1120.0
283,1057.0
284,1093.0
285,1046.0
286,1069.0
287,995.0
288,1078.0
289,1024.0
290,1104.0
291,1117.0
292,1052.0
293,1092.0
294,1052.0
295,1147.0
296,1097.0
297,996.0
298,1089.0
299,1138.0
300,1087.0
301,1016.0
302,1036.0
303,1027.0
304,1066.0
305,1021.0
306,1122.0
307,1092.0
