Episodes,Cumulative Number of Goals
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,2.0
29,2.0
30,2.0
31,2.0
32,2.0
33,2.0
34,2.0
35,3.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,5.0
42,5.0
43,5.0
44,6.0
45,6.0
46,6.0
47,7.0
48,7.0
49,7.0
50,7.0
51,7.0
52,7.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,8.0
59,8.0
60,8.0
61,8.0
62,8.0
63,8.0
64,8.0
65,8.0
66,9.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,10.0
73,10.0
74,11.0
75,11.0
