Episodes,Rewards
1,-1105.8717041015625
2,1000.0
3,-1145.02734375
4,-1398.7303466796875
5,-1198.78759765625
6,-1279.5181884765625
7,-1313.212890625
8,-1058.74072265625
9,-1012.0964965820312
10,-1079.0126953125
11,-1103.3953857421875
12,-1194.7418212890625
13,-1085.7938232421875
14,1152.3807373046875
15,-2293.840576171875
16,-1680.264892578125
17,-1265.8499755859375
18,-1457.114013671875
19,-1192.1226806640625
20,-1770.6790771484375
21,-1137.3990478515625
22,-1998.3380126953125
23,-1188.77392578125
24,-1175.3333740234375
25,-1291.8167724609375
26,-1446.322265625
27,-1267.53515625
28,920.9205322265625
29,-1787.8843994140625
30,-1287.5745849609375
31,-1476.359619140625
32,-1294.290283203125
33,-1543.0362548828125
34,-1131.2921142578125
35,-1152.0059814453125
36,-1175.095947265625
37,-1479.823486328125
38,-1539.0985107421875
39,-1085.0001220703125
40,-1285.4874267578125
41,-1076.1102294921875
42,-1037.7723388671875
43,-1299.349365234375
44,-1542.343505859375
45,-1372.2310791015625
46,-1723.1396484375
47,-1100.8155517578125
48,-1884.4561767578125
