Episodes,Rewards
1,-1857.9501953125
2,-1774.0845947265625
3,-1622.5487060546875
4,-1271.8338623046875
5,-1122.7418212890625
6,-1349.4498291015625
7,-1458.0841064453125
8,965.7783203125
9,-1203.1815185546875
10,-1739.081298828125
11,-1325.2801513671875
12,-1597.6595458984375
13,-1650.016845703125
14,-1240.443359375
15,-1390.20654296875
16,1219.2183837890625
17,-1628.7288818359375
18,-1440.635009765625
19,-1487.5882568359375
20,-1542.4886474609375
21,-1073.4747314453125
22,-1512.4173583984375
23,-1412.254150390625
24,-1509.5689697265625
25,-1480.2242431640625
26,-1440.007080078125
27,-1460.10888671875
28,1063.5908203125
29,-1533.7354736328125
30,-1245.6368408203125
31,-1560.51806640625
32,-1860.3568115234375
33,-1429.8228759765625
34,-1574.9473876953125
35,-1475.8056640625
36,-1087.7740478515625
37,-1386.67333984375
38,-1298.07763671875
39,-1532.3988037109375
40,-1494.148193359375
41,-1491.24853515625
42,-1221.1026611328125
43,-1642.3409423828125
44,-1882.0830078125
45,-1478.459228515625
46,-1328.875244140625
47,-1583.548828125
48,-1786.4747314453125
