Episodes,Cumulative Number of Goals
1,0.0
2,1.0
3,1.0
4,2.0
5,3.0
6,4.0
7,4.0
8,5.0
9,5.0
10,6.0
11,6.0
12,7.0
13,8.0
14,9.0
15,10.0
16,11.0
17,11.0
18,12.0
19,12.0
20,13.0
21,13.0
22,14.0
23,14.0
24,15.0
25,15.0
26,15.0
27,15.0
28,16.0
29,16.0
30,17.0
31,17.0
32,18.0
33,18.0
34,19.0
35,19.0
36,20.0
37,20.0
38,21.0
39,21.0
40,22.0
41,23.0
42,23.0
43,23.0
44,23.0
45,24.0
46,24.0
47,25.0
48,25.0
49,26.0
50,26.0
51,27.0
52,27.0
53,28.0
54,28.0
55,29.0
56,29.0
57,30.0
58,31.0
59,32.0
60,32.0
61,33.0
62,34.0
63,34.0
64,35.0
65,35.0
66,36.0
67,36.0
68,36.0
69,36.0
70,37.0
71,37.0
72,38.0
73,38.0
74,39.0
75,39.0
76,40.0
77,40.0
78,41.0
79,41.0
80,42.0
81,42.0
82,42.0
83,43.0
84,43.0
85,43.0
86,43.0
87,44.0
88,44.0
89,45.0
90,45.0
91,45.0
92,45.0
93,46.0
94,46.0
95,47.0
96,47.0
97,48.0
98,48.0
99,48.0
100,48.0
