Episodes,Rewards
1,-1090.55615234375
2,1240.561279296875
3,-1022.310546875
4,1196.7376708984375
5,-1055.2332763671875
6,1187.7567138671875
7,-1047.62353515625
8,1113.2843017578125
9,-989.634765625
10,1048.7344970703125
11,-1035.271484375
12,1213.4083251953125
13,-1025.245849609375
14,1250.732421875
15,-1056.202392578125
16,1109.66943359375
17,887.4636840820312
18,1146.8717041015625
19,-1244.6024169921875
20,1180.942626953125
21,-1434.302734375
22,1114.2088623046875
23,-1067.149169921875
24,1279.25390625
25,-1081.77880859375
26,1199.973388671875
27,-1044.821044921875
28,1148.5550537109375
29,-1153.8262939453125
30,1174.146240234375
31,-1083.9337158203125
32,1185.0614013671875
33,-1069.09716796875
34,1119.3365478515625
35,-1232.7928466796875
36,1131.680419921875
37,-995.1819458007812
38,1224.3433837890625
39,-1087.416259765625
40,1178.4541015625
41,995.6275634765625
42,1194.288330078125
43,-1077.0079345703125
44,1232.484619140625
45,-1054.205810546875
46,1186.7664794921875
47,-1014.4912719726562
48,1159.1783447265625
