Episodes,Rewards
1,-1047.462158203125
2,1190.814697265625
3,-1210.601318359375
4,-823.7325439453125
5,911.1925659179688
6,1165.729736328125
7,-1027.3211669921875
8,1081.5565185546875
9,-1001.815673828125
10,1227.5618896484375
11,-984.1064453125
12,1216.1370849609375
13,-1061.3134765625
14,1114.072265625
15,923.83642578125
16,-999.9007568359375
17,1090.9857177734375
18,-1060.1427001953125
19,-860.1991577148438
20,1113.2801513671875
21,1158.61181640625
22,1238.8856201171875
23,-943.204345703125
24,1143.5948486328125
25,-970.4197998046875
26,1140.5941162109375
27,-1044.421875
28,1229.2904052734375
29,-1033.866943359375
30,1197.173095703125
31,-1051.3753662109375
32,-929.7326049804688
33,-1050.4466552734375
34,1148.3529052734375
35,-1056.87939453125
36,1416.6878662109375
37,-1091.3660888671875
38,1249.366455078125
39,-885.6181640625
40,1102.8760986328125
41,-1025.9854736328125
42,1279.530517578125
43,-1052.278564453125
44,1095.58447265625
45,-1101.0628662109375
46,1080.8643798828125
47,-1018.1405639648438
48,1121.52001953125
