Episodes,Rewards
1,-1132.99658203125
2,1121.742919921875
3,-1187.130126953125
4,1053.97802734375
5,-1164.20166015625
6,1225.639892578125
7,-1313.0045166015625
8,1086.5513916015625
9,-1092.50732421875
10,1073.74609375
11,-1582.8365478515625
12,1105.927001953125
13,-1218.70068359375
14,1175.4169921875
15,-1215.8397216796875
16,1211.236083984375
17,-1228.5589599609375
18,1105.5870361328125
19,-1150.4073486328125
20,917.5933837890625
21,-1105.373779296875
22,1000.0
23,-1079.4521484375
24,1224.5419921875
25,-1235.3272705078125
26,-1107.9398193359375
27,-1113.8038330078125
28,1156.9312744140625
29,-1085.7452392578125
30,1134.70947265625
31,-1039.4940185546875
32,1406.896240234375
33,-995.0733032226562
34,1181.9400634765625
35,-1109.786376953125
36,1196.918212890625
37,-1057.5728759765625
38,1175.4959716796875
39,-1201.8179931640625
40,1071.126220703125
41,-1100.419677734375
42,1071.023681640625
43,-1172.8177490234375
44,1001.7886352539062
45,-1276.306640625
46,1247.115234375
47,-1055.323974609375
48,-936.6063842773438
