Episodes,Rewards
1,968.8045654296875
2,-953.7862548828125
3,-1553.9056396484375
4,-1200.688720703125
5,-1246.3466796875
6,-1225.9022216796875
7,-1796.8040771484375
8,-1353.88134765625
9,-1000.0
10,-1116.74755859375
11,-1459.2823486328125
12,-1409.607666015625
13,-1694.9462890625
14,-1198.9588623046875
15,-1507.8297119140625
16,-1271.8345947265625
17,-1080.936279296875
18,-1562.3250732421875
19,-1226.7529296875
20,-1329.9600830078125
21,-1458.447021484375
22,-1095.7537841796875
23,-1229.036865234375
24,-1758.6820068359375
25,-1297.9930419921875
26,-1063.0010986328125
27,-1318.8792724609375
28,1103.384033203125
29,-1221.1304931640625
30,-1157.69677734375
31,-1476.1279296875
32,-1259.5045166015625
33,-1001.1273803710938
34,-1315.297119140625
35,837.2606201171875
36,835.5574951171875
37,-1337.85205078125
38,-1403.2109375
39,-1607.397216796875
40,-1301.5242919921875
41,1074.590576171875
42,-1904.13037109375
43,-1428.838623046875
44,1046.384033203125
45,-2310.609130859375
46,-1643.7076416015625
47,839.9320068359375
48,-1479.5469970703125
49,-1107.0938720703125
50,-1360.6251220703125
51,-1384.7921142578125
52,-1101.59033203125
53,-1248.4891357421875
54,-1308.7545166015625
55,-1241.921630859375
56,-1646.59130859375
57,-1755.8348388671875
58,961.4878540039062
59,-1136.0257568359375
60,-1172.3848876953125
61,-1127.571533203125
62,-1327.9320068359375
63,-1444.28662109375
64,-999.1456298828125
65,-1617.038818359375
66,1000.0
67,-1368.0634765625
68,-1151.5562744140625
69,-1220.49267578125
70,-1162.651123046875
71,-1820.81494140625
72,868.67138671875
73,-1215.8721923828125
74,1149.715576171875
75,-1125.9471435546875
76,-1111.7137451171875
77,-1079.2008056640625
78,-1300.635498046875
79,-1530.0267333984375
80,-1684.78173828125
81,411.699951171875
82,-1051.30029296875
83,-1160.7103271484375
84,-1850.584716796875
85,861.4025268554688
86,-1106.356201171875
87,-1303.7899169921875
88,1113.861328125
89,-1069.622802734375
90,886.0198974609375
91,-1434.85546875
92,-1148.696044921875
93,-1329.3289794921875
94,804.0477905273438
95,872.281005859375
96,-1068.319580078125
97,935.3848876953125
98,-1494.8905029296875
99,732.716552734375
100,-1243.6181640625
101,-1382.806640625
102,803.4071655273438
103,-1465.3502197265625
104,1097.4061279296875
105,-1472.279296875
106,-1067.81591796875
107,754.4140625
108,-1097.930908203125
109,-1403.563232421875
110,-1111.7047119140625
111,903.7357177734375
112,1029.66455078125
113,-1544.409912109375
114,-1192.1832275390625
115,-1010.0
116,-1480.35986328125
117,625.2307739257812
118,-1322.2628173828125
119,1055.7008056640625
120,-1304.682373046875
121,-1000.0
122,755.6085205078125
123,-963.61474609375
124,-1536.0733642578125
125,-1387.0296630859375
126,856.0205078125
127,-1469.8492431640625
128,-1131.9205322265625
129,909.2445068359375
130,844.6740112304688
131,-1402.7899169921875
132,870.190673828125
133,-1172.26123046875
134,-1779.5263671875
135,-1232.7938232421875
136,-1954.2779541015625
137,754.9376831054688
138,-1256.973876953125
139,-1083.1126708984375
140,-1623.228759765625
141,-1609.16015625
142,-1323.00830078125
143,-1949.3671875
144,-1509.5833740234375
145,-1512.9029541015625
146,1088.685302734375
147,-1377.950439453125
148,1130.7982177734375
149,-1091.653076171875
150,-1719.8026123046875
151,-1162.8909912109375
152,-1003.945556640625
153,-1280.1748046875
154,-1190.2703857421875
155,-1096.1060791015625
156,-1416.9500732421875
157,1000.0
158,-1088.957763671875
159,-1152.8974609375
160,-49.98424530029297
161,-2243.860107421875
162,-960.7559814453125
163,1176.4339599609375
164,893.9406127929688
165,-1214.4599609375
166,-1680.6949462890625
167,515.5953369140625
168,-1149.6494140625
169,48.15258026123047
170,-1257.9036865234375
171,-1152.1219482421875
172,-1218.6881103515625
173,-1761.3740234375
174,-1243.0076904296875
175,-1419.708740234375
176,-1910.5023193359375
177,-1808.5751953125
178,-1226.84423828125
179,-1496.4119873046875
180,-1211.654296875
181,477.07318115234375
182,-1439.755615234375
183,-1554.2578125
184,-1389.34765625
185,795.0541381835938
186,863.4351196289062
187,550.93994140625
188,-1245.0706787109375
189,548.279296875
190,-1282.28955078125
191,-1349.423095703125
192,713.9019775390625
193,-1943.0546875
194,-1685.5872802734375
195,-1529.3482666015625
196,-1684.27294921875
197,-2229.009033203125
198,-1274.7305908203125
199,198.12501525878906
200,-1876.8037109375
201,431.3373107910156
202,-1448.472412109375
203,-1550.9625244140625
204,-1098.81298828125
205,-1911.185302734375
206,530.5720825195312
207,1149.8572998046875
208,471.7397155761719
209,-1355.6524658203125
210,-1672.73779296875
211,730.9498291015625
212,1095.703857421875
213,-1135.567138671875
214,-1319.2821044921875
215,-1279.00341796875
216,668.0774536132812
217,1021.3120727539062
218,-1475.2891845703125
219,-1409.682373046875
220,563.4224853515625
221,1116.6787109375
222,-1430.5013427734375
223,1001.6285400390625
224,384.91485595703125
225,1138.3548583984375
226,-1277.85693359375
227,-1193.416259765625
228,48.41401672363281
