Episodes,Rewards
1,1177.3970947265625
2,868.6561889648438
3,1168.9022216796875
4,-1017.2184448242188
5,1059.8533935546875
6,-1047.160888671875
7,1209.5616455078125
8,973.0050048828125
9,1144.8184814453125
10,1093.7880859375
11,1198.505859375
12,-1120.4805908203125
13,1364.3751220703125
14,-1000.0
15,1197.513671875
16,-947.4735717773438
17,1156.5728759765625
18,1072.2998046875
19,1094.1661376953125
20,-1061.155029296875
21,1172.2176513671875
22,873.4114379882812
23,1218.3836669921875
24,-1031.0611572265625
25,-1000.0
26,1000.0
27,1119.707275390625
28,-1074.6229248046875
29,1065.099365234375
30,-1041.0009765625
31,1232.7513427734375
32,-1000.0648193359375
33,1077.9586181640625
34,819.398681640625
35,1234.16796875
36,-952.4512329101562
37,981.5894775390625
38,1132.5789794921875
39,868.35693359375
40,987.5875244140625
41,-980.1395263671875
42,1037.7667236328125
43,-1038.047119140625
44,1018.1599731445312
45,-1000.4801635742188
46,958.3291015625
47,1225.0728759765625
48,-1022.9357299804688
49,1126.3154296875
50,-976.158447265625
51,1071.86279296875
52,-1124.4334716796875
53,1134.99169921875
54,-1010.214599609375
