Episodes,Cumulative Number of Goals
1,1.0
2,2.0
3,3.0
4,3.0
5,4.0
6,4.0
7,5.0
8,6.0
9,7.0
10,8.0
11,9.0
12,9.0
13,10.0
14,10.0
15,11.0
16,11.0
17,12.0
18,13.0
19,14.0
20,14.0
21,15.0
22,16.0
23,17.0
24,17.0
25,17.0
26,18.0
27,19.0
28,19.0
29,20.0
30,20.0
31,21.0
32,21.0
33,22.0
34,23.0
35,24.0
36,24.0
37,25.0
38,26.0
39,27.0
40,28.0
41,28.0
42,29.0
43,29.0
44,30.0
45,30.0
46,31.0
47,32.0
48,32.0
49,33.0
50,33.0
51,34.0
52,34.0
53,35.0
54,35.0
