Episodes,Rewards
1,-2143.7890625
2,-2187.156005859375
3,-1542.1435546875
4,-2019.1114501953125
5,662.67919921875
6,-1178.1160888671875
7,994.7700805664062
8,-1834.44677734375
9,-1923.9725341796875
10,-2086.67822265625
11,-333.48297119140625
12,-1913.4609375
13,395.0875244140625
14,-1902.063720703125
15,-1635.498291015625
16,-1535.3330078125
17,-1401.086669921875
18,-926.5816040039062
19,652.4939575195312
20,-1980.800048828125
21,-1414.740478515625
22,-1883.9224853515625
23,-2176.24072265625
24,-1349.1663818359375
25,1303.6556396484375
26,-1727.8450927734375
27,854.569091796875
28,-1448.72412109375
29,-1705.9617919921875
30,-1327.15576171875
31,-1000.0
32,-1384.054443359375
33,-1155.70166015625
34,-1425.76708984375
35,850.6460571289062
36,-937.994140625
37,868.9395141601562
38,-2159.4970703125
39,-1496.2891845703125
40,-1320.2547607421875
41,351.9332580566406
42,-1940.1724853515625
43,-1726.3743896484375
44,-1310.234375
45,1042.44091796875
46,-1760.7625732421875
47,903.0330810546875
48,-1419.8692626953125
