Episodes,Rewards
1,-1276.09326171875
2,1084.777587890625
3,-1710.0167236328125
4,-1182.3740234375
5,-1433.9180908203125
6,-968.4495239257812
7,-1460.2281494140625
8,-1429.5316162109375
9,-1574.87548828125
10,-1562.7601318359375
11,-1040.068603515625
12,-1219.77880859375
13,-1000.0
14,968.10400390625
15,-1475.91162109375
16,-1412.105224609375
17,-1450.406982421875
18,-1181.3663330078125
19,-1295.46923828125
20,-972.115966796875
21,-1292.9423828125
22,-1345.7742919921875
23,-888.9502563476562
24,-1457.0040283203125
25,-979.2702026367188
26,-1496.928955078125
27,-1332.5220947265625
28,-1466.9996337890625
29,-1258.6099853515625
30,-1374.9083251953125
31,-976.4923095703125
32,-1065.7530517578125
33,-1296.068359375
34,-1300.5399169921875
35,-1280.8536376953125
36,-1725.2855224609375
37,-988.1771850585938
38,-1441.8486328125
39,-1043.254638671875
40,-1043.9783935546875
41,-1333.2786865234375
42,-1418.6865234375
43,-1691.679931640625
44,1206.801513671875
45,-1323.6278076171875
46,-1326.7230224609375
47,-1273.74609375
48,-1000.0
49,-1425.0623779296875
50,-1223.9129638671875
51,-1705.2667236328125
52,-1243.634521484375
53,-1598.4207763671875
54,-875.4522705078125
55,-1412.07421875
56,-991.2813110351562
57,-1000.0
58,-1276.5941162109375
59,-1076.2626953125
60,-1377.98291015625
61,-1161.6334228515625
62,-1047.0367431640625
63,-1340.6275634765625
64,-1568.89599609375
65,-1000.0
66,-1411.486328125
67,-1351.8251953125
68,-1667.2030029296875
69,-931.7295532226562
70,-1269.5841064453125
71,-1262.6295166015625
72,-1307.65234375
73,-1000.0
74,-1746.0321044921875
75,-1383.790283203125
76,-1435.968017578125
77,-1425.03369140625
78,-1332.357421875
79,1196.70068359375
80,-1578.5845947265625
81,-1000.0
82,-1361.2869873046875
83,-1118.59326171875
84,-2172.09619140625
85,-1028.8485107421875
86,-1686.7540283203125
87,-1239.6539306640625
88,-1389.773681640625
89,-1226.8935546875
90,-1305.7161865234375
91,-1207.6605224609375
92,-1510.4735107421875
93,1011.5457153320312
94,-1382.379150390625
95,-1170.4642333984375
96,-1458.854736328125
97,-1282.2523193359375
98,-1475.3475341796875
99,1000.0
100,-1207.62158203125
101,-1429.541748046875
102,-1020.5089721679688
103,-1262.698486328125
104,-1537.9913330078125
105,-1454.1121826171875
106,-1116.6171875
107,-1932.0689697265625
108,-1207.6268310546875
109,-1366.965576171875
110,-1450.531494140625
111,-1664.65234375
112,-2527.787353515625
113,-1386.8699951171875
114,1032.8214111328125
115,-1425.4346923828125
116,-1548.944580078125
117,-1347.553955078125
118,-1266.560302734375
119,-1606.297607421875
120,1050.04052734375
