Episodes,Rewards
1,-1147.0
2,-1125.0
3,-1063.0
4,-1096.0
5,-1036.0
6,-1103.0
7,-1024.0
8,-963.0
9,-977.0
10,-970.0
11,-861.0
12,-1060.0
13,-958.0
14,-953.0
15,-1100.0
16,-1101.0
17,-1000.0
18,-1171.0
19,-942.0
20,-1069.0
21,-1129.0
22,-861.0
23,-1042.0
24,-1123.0
25,-947.0
26,904.0
27,-1335.0
28,-1026.0
29,-1101.0
30,-1065.0
31,-1029.0
32,-996.0
33,-1014.0
34,-1098.0
35,-1010.0
36,1001.0
37,-1098.0
38,-1004.0
39,-1123.0
40,-992.0
41,-1031.0
42,-1088.0
43,-1351.0
44,-1042.0
45,-1271.0
46,-1395.0
47,476.0
48,-894.0
49,-1350.0
50,1122.0
51,-1240.0
52,-1220.0
53,-300.0
54,-953.0
55,-1056.0
56,1244.0
57,-1351.0
58,1026.0
59,996.0
60,-982.0
61,-1017.0
62,-1073.0
63,-1052.0
64,1071.0
65,-1041.0
66,1060.0
67,-1011.0
68,-994.0
69,-1127.0
70,-1211.0
71,-986.0
72,1146.0
73,-1103.0
74,-994.0
75,1031.0
76,-1434.0
77,-1479.0
78,-1248.0
79,-1186.0
80,1041.0
81,-1129.0
82,1008.0
83,1117.0
84,1279.0
85,-1072.0
86,955.0
87,1000.0
88,-1019.0
89,-1073.0
90,-1055.0
91,946.0
92,-1329.0
93,-1163.0
94,-986.0
95,-927.0
96,-1188.0
97,-384.0
98,-1047.0
99,-1746.0
100,-1351.0
101,1092.0
102,-1158.0
103,1086.0
104,1123.0
105,1273.0
106,-1133.0
107,-1199.0
108,-1163.0
109,-1121.0
110,-874.0
111,-1116.0
112,-1165.0
113,1000.0
114,1087.0
115,-1044.0
116,-1010.0
117,-1075.0
118,-1080.0
119,-1406.0
120,-317.0
121,-1089.0
122,-1286.0
123,-843.0
124,-650.0
125,-1027.0
126,-1075.0
127,1133.0
128,-900.0
129,771.0
130,-952.0
131,-847.0
132,-982.0
133,-1356.0
134,788.0
135,-1311.0
136,-1141.0
137,-479.0
138,597.0
139,841.0
140,-1250.0
141,-1560.0
142,-1290.0
143,-898.0
144,861.0
145,-2080.0
146,644.0
147,-1135.0
148,1011.0
149,-1284.0
150,1226.0
151,-1612.0
152,-1263.0
153,-1275.0
154,-1165.0
155,-2056.0
156,-1137.0
157,-1903.0
158,-1175.0
159,-1431.0
160,-1482.0
161,254.0
162,1001.0
163,-1547.0
164,-918.0
165,-1525.0
166,-1990.0
167,-894.0
168,-2108.0
169,-1233.0
170,-1746.0
171,-1075.0
172,1216.0
173,-841.0
174,-887.0
175,1025.0
176,-1478.0
177,-2022.0
178,-1327.0
179,-908.0
180,-945.0
181,-1687.0
182,-1166.0
183,-1673.0
184,-927.0
185,-1384.0
186,-1046.0
187,-1072.0
188,-1385.0
189,-1068.0
190,-2248.0
191,-1580.0
192,-556.0
193,-1596.0
194,-546.0
195,-601.0
196,-655.0
197,-1325.0
198,-554.0
199,-1089.0
200,-1095.0
201,-1005.0
202,-441.0
203,-1599.0
204,650.0
205,-1466.0
206,-847.0
207,-1078.0
208,-1241.0
209,-1213.0
210,809.0
