Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,2.0
37,2.0
38,2.0
39,2.0
40,2.0
41,2.0
42,2.0
43,2.0
44,2.0
45,2.0
46,2.0
47,3.0
48,3.0
49,3.0
50,4.0
51,4.0
52,4.0
53,4.0
54,4.0
55,4.0
56,5.0
57,5.0
58,6.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,8.0
65,8.0
66,9.0
67,9.0
68,9.0
69,9.0
70,9.0
71,9.0
72,10.0
73,10.0
74,10.0
75,11.0
76,11.0
77,11.0
78,11.0
79,11.0
80,12.0
81,12.0
82,13.0
83,14.0
84,15.0
85,15.0
86,16.0
87,17.0
88,17.0
89,17.0
90,17.0
91,18.0
92,18.0
93,18.0
94,18.0
95,18.0
96,18.0
97,18.0
98,18.0
99,18.0
100,18.0
101,19.0
102,19.0
103,20.0
104,21.0
105,22.0
106,22.0
107,22.0
108,22.0
109,22.0
110,22.0
111,22.0
112,22.0
113,23.0
114,24.0
115,24.0
116,24.0
117,24.0
118,24.0
119,24.0
120,24.0
121,24.0
122,24.0
123,24.0
124,24.0
125,24.0
126,24.0
127,25.0
128,25.0
129,26.0
130,26.0
131,26.0
132,26.0
133,26.0
134,27.0
135,27.0
136,27.0
137,27.0
138,28.0
139,29.0
140,29.0
141,29.0
142,29.0
143,29.0
144,30.0
145,30.0
146,31.0
147,31.0
148,32.0
149,32.0
150,33.0
151,33.0
152,33.0
153,33.0
154,33.0
155,33.0
156,33.0
157,33.0
158,33.0
159,33.0
160,33.0
161,34.0
162,35.0
163,35.0
164,35.0
165,35.0
166,35.0
167,35.0
168,35.0
169,35.0
170,35.0
171,35.0
172,36.0
173,36.0
174,36.0
175,37.0
176,37.0
177,37.0
178,37.0
179,37.0
180,37.0
181,37.0
182,37.0
183,37.0
184,37.0
185,37.0
186,37.0
187,37.0
188,37.0
189,37.0
190,37.0
191,37.0
192,38.0
193,38.0
194,38.0
195,38.0
196,38.0
197,38.0
198,38.0
199,38.0
200,38.0
201,38.0
202,38.0
203,38.0
204,39.0
205,39.0
206,39.0
207,39.0
208,39.0
209,39.0
210,40.0
211,40.0
212,40.0
213,41.0
214,42.0
215,43.0
216,43.0
217,43.0
218,44.0
219,45.0
220,46.0
221,47.0
222,48.0
223,48.0
224,48.0
225,48.0
226,48.0
227,48.0
228,48.0
229,49.0
230,49.0
231,49.0
232,49.0
233,50.0
234,51.0
235,51.0
236,51.0
237,52.0
238,52.0
239,52.0
240,52.0
241,53.0
242,54.0
243,54.0
244,54.0
245,54.0
