Episodes,Rewards
1,-1135.0
2,-1264.0
3,-1311.0
4,945.0
5,-1246.0
6,-1184.0
7,-1043.0
8,1103.0
9,-1076.0
10,-1317.0
11,-1184.0
12,-947.0
13,-1067.0
14,-1270.0
15,-1107.0
16,-999.0
17,-1053.0
18,-1119.0
19,1026.0
20,-917.0
21,-1028.0
22,-1085.0
23,-1345.0
24,-1067.0
25,-1117.0
26,-1306.0
27,-1247.0
28,-1154.0
29,-1292.0
30,-1296.0
31,-1092.0
32,-1206.0
33,-1509.0
34,-1153.0
35,-1060.0
36,-1016.0
37,-1050.0
38,-1164.0
39,-1454.0
40,-1038.0
41,-1358.0
42,-1625.0
43,-1205.0
44,-1090.0
45,-966.0
46,-1219.0
47,-1130.0
48,1037.0
49,-1391.0
50,-1265.0
51,-978.0
52,-1218.0
53,-1168.0
54,-801.0
55,-1540.0
56,-1144.0
57,1000.0
58,-792.0
59,492.0
60,-1246.0
61,-1100.0
62,-990.0
63,-1560.0
64,-606.0
65,-1354.0
66,-1095.0
67,-1590.0
68,-1254.0
69,-1115.0
70,-995.0
71,-1195.0
72,-1399.0
73,-405.0
74,-969.0
75,-1111.0
76,-1189.0
77,-1249.0
78,-1045.0
79,-270.0
80,-1218.0
81,-1397.0
82,-1309.0
83,-1058.0
84,-1181.0
85,-1020.0
86,-1040.0
87,-1496.0
88,-1074.0
89,-1431.0
90,-1233.0
91,-1223.0
92,-1213.0
93,-1245.0
94,-1372.0
95,-1319.0
96,-869.0
97,-1209.0
