Episodes,Rewards
1,-1648.610107421875
2,-1431.661376953125
3,842.2442016601562
4,-1529.419677734375
5,-2279.035888671875
6,-1838.0892333984375
7,-1336.24658203125
8,-1110.0
9,-1535.9327392578125
10,-1665.5936279296875
11,-2431.5927734375
12,-2348.71142578125
13,-1675.9451904296875
14,-3002.424072265625
15,-1920.3031005859375
16,-3159.294677734375
17,-1828.7470703125
18,-2393.0712890625
19,-2997.06787109375
20,-1939.0443115234375
21,-1287.8304443359375
22,-1120.0
23,-2286.840576171875
24,-1265.5045166015625
25,1003.782470703125
26,-1109.3258056640625
27,-1722.8062744140625
28,-1409.308837890625
29,-1880.95263671875
30,-2136.697265625
31,-1926.7835693359375
32,-119.52239227294922
33,1000.0
34,-2031.64208984375
35,-1185.593505859375
36,-2225.64599609375
37,-2161.005859375
38,-3422.859130859375
39,-1386.9471435546875
40,-2411.151123046875
41,-2046.2763671875
42,-1617.1441650390625
43,-2152.713623046875
44,-1267.3585205078125
45,-1146.3582763671875
46,-1377.203125
47,-2353.0751953125
48,-1345.56787109375
49,-1913.05029296875
50,-1714.9617919921875
51,-1353.344482421875
52,568.7168579101562
53,-1785.1226806640625
54,-1998.0885009765625
55,-2008.0633544921875
56,-1550.7518310546875
57,-2431.52099609375
58,-1390.234375
59,-1725.3861083984375
60,-1577.7177734375
61,-1726.5223388671875
62,-1676.2408447265625
63,-1621.8548583984375
64,-1967.1632080078125
65,-1757.0262451171875
66,-2114.523193359375
67,1095.8748779296875
68,-1558.4229736328125
69,-1455.1654052734375
70,-2172.403564453125
71,-2055.468505859375
72,823.0843505859375
73,-2977.011474609375
74,944.6735229492188
75,520.0457763671875
76,-2250.265380859375
77,-2330.956298828125
78,-2619.42529296875
79,-2812.829833984375
80,-1664.2391357421875
81,-2086.794677734375
82,-1046.30322265625
83,-1889.1055908203125
84,-1653.80908203125
85,-1782.5997314453125
86,-1917.8182373046875
87,-1165.7530517578125
88,-1382.6962890625
89,-1936.588623046875
90,-305.6253662109375
91,-1847.7269287109375
92,-1204.55224609375
93,-1653.3203125
94,-1827.2027587890625
95,-2141.81982421875
96,-2385.0908203125
97,874.1571044921875
98,-1554.359619140625
99,-1589.733154296875
100,661.4274291992188
101,-844.0196533203125
102,-1754.1865234375
103,-2001.14990234375
104,-2780.669921875
105,-2482.46484375
106,-1921.088623046875
107,-2686.294677734375
108,-354.9442443847656
109,-2600.138427734375
110,-2228.707763671875
111,-1377.8580322265625
112,-1178.436279296875
113,-1621.58544921875
114,201.49832153320312
115,-1883.5802001953125
116,-2065.09912109375
117,-1976.72705078125
118,-1924.3232421875
119,-1328.44482421875
120,-2137.55029296875
121,-2135.998046875
122,-1834.962890625
123,-1345.4508056640625
124,-1090.672607421875
125,-2651.852294921875
126,-1341.661865234375
127,-2787.865478515625
128,-2078.7509765625
129,-1496.552490234375
130,-2202.501708984375
131,-2086.75048828125
132,-1752.6817626953125
133,-2168.46240234375
134,-2398.772705078125
135,-2047.901611328125
136,-2365.530029296875
137,-1708.463134765625
138,-2398.86767578125
139,-1503.360595703125
140,-1469.989013671875
141,-1893.5179443359375
142,-1520.751220703125
143,-2458.15771484375
144,-2676.198486328125
145,-2120.65625
146,470.61932373046875
147,-1355.9344482421875
148,-2015.1131591796875
149,-1612.6290283203125
150,-1622.8848876953125
151,-1572.1234130859375
152,-1643.1192626953125
153,-2604.525634765625
154,-1662.340576171875
155,-1575.218994140625
156,-1946.430908203125
157,-1020.3311157226562
158,-1162.3924560546875
159,-1272.4129638671875
160,-1670.7039794921875
161,-2450.343017578125
162,-1080.992431640625
163,-1039.117431640625
164,-1867.6427001953125
165,-1585.2476806640625
166,587.3178100585938
167,-1978.640625
168,-2587.021240234375
169,-2652.205810546875
170,-2316.419921875
171,-1819.90576171875
172,522.7271728515625
173,-1140.489013671875
174,-1293.4747314453125
175,-1737.167724609375
176,-1395.0352783203125
177,-2217.903076171875
178,-2201.480712890625
179,-1568.4920654296875
180,-1721.249755859375
181,68.89328002929688
182,-1181.67919921875
183,-1463.564697265625
184,-1772.69384765625
185,-2666.127685546875
186,-2501.1513671875
187,-1894.7137451171875
188,-1701.417236328125
189,-1245.91162109375
190,-1623.652099609375
191,-2436.451416015625
192,-1263.2884521484375
193,-1218.6536865234375
194,-1915.766357421875
195,-1658.5174560546875
196,-2154.9853515625
197,-1318.9539794921875
198,-2179.201171875
199,-2111.94677734375
200,-2006.842529296875
201,-2229.639404296875
202,-1532.8326416015625
203,-2052.6201171875
204,-1807.8013916015625
205,-1782.686767578125
206,-1489.1551513671875
207,-1589.5296630859375
208,-1038.4244384765625
209,-2360.562255859375
210,-2492.728759765625
211,-1634.1002197265625
212,-2013.7529296875
213,-1642.5941162109375
214,3.442091464996338
215,-1808.7060546875
216,-499.4763488769531
217,-1550.4090576171875
218,-1916.2183837890625
219,-1656.046142578125
220,-1975.212646484375
221,-1250.0
222,-1348.685546875
223,-2264.52490234375
224,-1651.1732177734375
225,-1749.3065185546875
226,-1534.934326171875
227,-93.07076263427734
228,-1880.2122802734375
229,-2262.9091796875
230,-1451.3251953125
231,-1106.7646484375
232,-1688.99755859375
233,-1188.3948974609375
234,-1614.7298583984375
235,-1523.576171875
236,-2452.548828125
237,-1327.8692626953125
238,-1847.4346923828125
239,-1408.134521484375
240,-1592.2515869140625
241,-1401.5101318359375
242,1075.4217529296875
243,-1101.9530029296875
244,838.9956665039062
245,-2142.810791015625
246,-1766.8848876953125
