Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,3.0
33,4.0
34,4.0
35,4.0
36,4.0
37,4.0
38,4.0
39,4.0
40,4.0
41,4.0
42,4.0
43,4.0
44,4.0
45,4.0
46,4.0
47,4.0
48,4.0
49,4.0
50,4.0
51,4.0
52,5.0
53,5.0
54,5.0
55,5.0
56,5.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,5.0
67,6.0
68,6.0
69,6.0
70,6.0
71,6.0
72,7.0
73,7.0
74,8.0
75,9.0
76,9.0
77,9.0
78,9.0
79,9.0
80,9.0
81,9.0
82,9.0
83,9.0
84,9.0
85,9.0
86,9.0
87,9.0
88,9.0
89,9.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,11.0
98,11.0
99,11.0
100,12.0
101,13.0
102,13.0
103,13.0
104,13.0
105,13.0
106,13.0
107,13.0
108,14.0
109,14.0
110,14.0
111,14.0
112,14.0
113,14.0
114,15.0
115,15.0
116,15.0
117,15.0
118,15.0
119,15.0
120,15.0
121,15.0
122,15.0
123,15.0
124,15.0
125,15.0
126,15.0
127,15.0
128,15.0
129,15.0
130,15.0
131,15.0
132,15.0
133,15.0
134,15.0
135,15.0
136,15.0
137,15.0
138,15.0
139,15.0
140,15.0
141,15.0
142,15.0
143,15.0
144,15.0
145,15.0
146,16.0
147,16.0
148,16.0
149,16.0
150,16.0
151,16.0
152,16.0
153,16.0
154,16.0
155,16.0
156,16.0
157,16.0
158,16.0
159,16.0
160,16.0
161,16.0
162,16.0
163,16.0
164,16.0
165,16.0
166,17.0
167,17.0
168,17.0
169,17.0
170,17.0
171,17.0
172,18.0
173,18.0
174,18.0
175,18.0
176,18.0
177,18.0
178,18.0
179,18.0
180,18.0
181,19.0
182,19.0
183,19.0
184,19.0
185,19.0
186,19.0
187,19.0
188,19.0
189,19.0
190,19.0
191,19.0
192,19.0
193,19.0
194,19.0
195,19.0
196,19.0
197,19.0
198,19.0
199,19.0
200,19.0
201,19.0
202,19.0
203,19.0
204,19.0
205,19.0
206,19.0
207,19.0
208,19.0
209,19.0
210,19.0
211,19.0
212,19.0
213,19.0
214,20.0
215,20.0
216,21.0
217,21.0
218,21.0
219,21.0
220,21.0
221,21.0
222,21.0
223,21.0
224,21.0
225,21.0
226,21.0
227,22.0
228,22.0
229,22.0
230,22.0
231,22.0
232,22.0
233,22.0
234,22.0
235,22.0
236,22.0
237,22.0
238,22.0
239,22.0
240,22.0
241,22.0
242,23.0
243,23.0
244,24.0
245,24.0
