Episodes,Rewards
1,-1228.0863037109375
2,-1498.7353515625
3,-1176.8367919921875
4,-1618.5592041015625
5,-1180.0
6,-1018.1600341796875
7,-1912.32080078125
8,-1851.7962646484375
9,-1548.8748779296875
10,-1902.0087890625
11,-1053.662109375
12,-1282.0740966796875
13,-1884.7733154296875
14,-2785.42626953125
15,-1254.240966796875
16,-1788.5675048828125
17,-1436.3970947265625
18,-2111.28271484375
19,597.614990234375
20,-1981.30712890625
21,742.5125122070312
22,-1024.8546142578125
23,-1036.6641845703125
24,-1111.407958984375
25,-1145.0125732421875
26,-1636.476318359375
27,-1523.4732666015625
28,-1792.3599853515625
29,1070.4854736328125
30,-1419.33154296875
31,-1524.04931640625
32,-1507.4613037109375
33,698.4629516601562
34,-1277.1243896484375
35,-1301.949951171875
36,-1645.6973876953125
37,-1712.4710693359375
38,691.3922729492188
39,-1092.566650390625
40,-2285.810546875
41,-1097.6236572265625
42,783.5645751953125
43,-1403.594482421875
44,95.72123718261719
45,-1237.1572265625
46,-1619.547607421875
47,12.461673736572266
48,666.1387329101562
49,295.52606201171875
50,-1885.887451171875
51,-1868.297119140625
52,-1518.9437255859375
53,-786.0042724609375
54,-1844.01611328125
55,534.5756225585938
56,752.9691772460938
57,-1207.374755859375
58,-1337.1683349609375
59,-2233.694091796875
60,-1091.83154296875
61,-1979.9229736328125
62,689.2907104492188
63,-1027.7237548828125
64,-1597.2802734375
65,763.9556274414062
66,1149.2738037109375
67,739.289306640625
68,-1366.2017822265625
69,-1404.4171142578125
70,-1136.8651123046875
71,-1067.1650390625
72,371.3153991699219
73,-2447.26953125
74,787.619873046875
75,-1063.22265625
76,-2670.203125
77,-1485.6141357421875
78,-2050.538818359375
79,-454.0659484863281
80,-1966.79345703125
81,974.2142333984375
82,-1458.845458984375
83,1037.103271484375
84,-1872.4412841796875
85,-311.46630859375
86,813.7399291992188
87,-2489.332275390625
88,-1239.9298095703125
89,1093.1973876953125
90,784.3662719726562
91,817.8385009765625
92,1027.15380859375
93,820.91650390625
94,1000.0
95,-1279.353759765625
96,947.4535522460938
97,867.735595703125
98,898.9937744140625
99,1041.757080078125
100,869.3107299804688
101,-1237.1046142578125
102,-112.84535217285156
103,-1094.8917236328125
104,921.4486694335938
105,1088.431884765625
106,579.2076416015625
107,932.8977661132812
108,350.63226318359375
109,751.1896362304688
110,-1215.9583740234375
111,863.73193359375
112,833.2808227539062
113,-1840.578369140625
114,-1852.65673828125
115,561.4469604492188
116,-1036.345458984375
117,-2340.283447265625
118,-2681.42041015625
119,-1979.16748046875
120,-2473.97998046875
121,864.1781616210938
122,571.0742797851562
123,-2658.33251953125
124,-1091.537109375
125,-1354.6182861328125
126,-2012.7410888671875
127,-453.90771484375
128,-1372.1107177734375
129,-1815.0106201171875
130,150.55160522460938
131,1089.0665283203125
132,1071.778564453125
133,547.2139892578125
134,1122.9461669921875
135,-1299.0889892578125
136,-25.24095344543457
137,-2174.8330078125
138,351.8675231933594
139,-1081.9112548828125
140,-2457.52685546875
141,-1240.337158203125
142,719.5660400390625
143,96.290283203125
