Episodes,Goal Rates
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0625
17,0.058800000697374344
18,0.05559999868273735
19,0.05260000005364418
20,0.05260000005364418
21,0.05000000074505806
22,0.047600001096725464
23,0.045499999076128006
24,0.04349999874830246
25,0.08330000191926956
26,0.07999999821186066
27,0.07689999788999557
28,0.07410000264644623
29,0.0714000016450882
30,0.0689999982714653
31,0.06669999659061432
32,0.09679999947547913
33,0.09380000084638596
34,0.0908999964594841
35,0.08820000290870667
36,0.08569999784231186
37,0.08330000191926956
38,0.08110000193119049
39,0.07890000194311142
40,0.07689999788999557
41,0.07500000298023224
42,0.07320000231266022
43,0.0714000016450882
44,0.0697999969124794
45,0.0681999996304512
46,0.06669999659061432
47,0.06520000100135803
48,0.06379999965429306
49,0.0625
50,0.06120000034570694
51,0.05999999865889549
52,0.058800000697374344
53,0.07689999788999557
54,0.0754999965429306
55,0.07410000264644623
56,0.07270000129938126
57,0.0892999991774559
58,0.0892999991774559
59,0.0877000018954277
60,0.08619999885559082
61,0.08470000326633453
62,0.08330000191926956
63,0.0820000022649765
64,0.08060000091791153
65,0.07940000295639038
66,0.09380000084638596
67,0.09229999780654907
68,0.09229999780654907
69,0.0908999964594841
70,0.08959999680519104
71,0.08820000290870667
72,0.08699999749660492
73,0.08569999784231186
74,0.09860000014305115
75,0.09719999879598618
76,0.09589999914169312
77,0.09589999914169312
78,0.10809999704360962
79,0.11999999731779099
80,0.11840000003576279
81,0.11840000003576279
82,0.1168999969959259
83,0.11540000140666962
84,0.1265999972820282
85,0.125
86,0.13580000400543213
87,0.14630000293254852
88,0.1565999984741211
89,0.15479999780654907
90,0.15479999780654907
91,0.15289999544620514
92,0.16279999911785126
93,0.17239999771118164
94,0.1704999953508377
95,0.17980000376701355
96,0.18889999389648438
97,0.18889999389648438
98,0.19779999554157257
99,0.20649999380111694
100,0.20430000126361847
101,0.20430000126361847
102,0.21279999613761902
103,0.21050000190734863
104,0.21879999339580536
105,0.21649999916553497
106,0.21649999916553497
107,0.2143000066280365
108,0.21209999918937683
109,0.20999999344348907
110,0.20999999344348907
111,0.20999999344348907
112,0.2079000025987625
113,0.20589999854564667
114,0.20389999449253082
115,0.20389999449253082
116,0.20389999449253082
117,0.21150000393390656
118,0.2094999998807907
119,0.21699999272823334
120,0.22429999709129333
121,0.22220000624656677
122,0.22939999401569366
123,0.23639999330043793
124,0.23639999330043793
125,0.23420000076293945
126,0.2320999950170517
127,0.23010000586509705
128,0.2281000018119812
129,0.23479999601840973
130,0.23280000686645508
131,0.23280000686645508
132,0.23929999768733978
133,0.23729999363422394
134,0.2353000044822693
135,0.24169999361038208
136,0.24169999361038208
137,0.23970000445842743
138,0.2459000051021576
139,0.24390000104904175
140,0.25
141,0.25
142,0.25
143,0.25600001215934753
