Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,2.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,3.0
38,3.0
39,3.0
40,3.0
41,3.0
42,3.0
43,3.0
44,3.0
45,3.0
46,3.0
47,3.0
48,3.0
49,3.0
50,3.0
51,3.0
52,3.0
53,4.0
54,4.0
55,4.0
56,4.0
57,5.0
58,5.0
59,5.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,6.0
67,6.0
68,6.0
69,6.0
70,6.0
71,6.0
72,6.0
73,6.0
74,7.0
75,7.0
76,7.0
77,7.0
78,8.0
79,9.0
80,9.0
81,9.0
82,9.0
83,9.0
84,10.0
85,10.0
86,11.0
87,12.0
88,13.0
89,13.0
90,13.0
91,13.0
92,14.0
93,15.0
94,15.0
95,16.0
96,17.0
97,17.0
98,18.0
99,19.0
100,19.0
101,19.0
102,20.0
103,20.0
104,21.0
105,21.0
106,21.0
107,21.0
108,21.0
109,21.0
110,21.0
111,21.0
112,21.0
113,21.0
114,21.0
115,21.0
116,21.0
117,22.0
118,22.0
119,23.0
120,24.0
121,24.0
122,25.0
123,26.0
124,26.0
125,26.0
126,26.0
127,26.0
128,26.0
129,27.0
130,27.0
131,27.0
132,28.0
133,28.0
134,28.0
135,29.0
136,29.0
137,29.0
138,30.0
139,30.0
140,31.0
141,31.0
142,31.0
143,32.0
144,32.0
145,32.0
146,33.0
147,33.0
148,34.0
149,35.0
150,35.0
151,35.0
152,35.0
153,36.0
154,36.0
155,36.0
156,36.0
157,36.0
158,36.0
159,37.0
160,37.0
161,38.0
162,38.0
163,38.0
164,38.0
165,38.0
166,38.0
167,38.0
168,38.0
169,38.0
170,38.0
171,39.0
172,40.0
173,41.0
174,42.0
175,42.0
176,42.0
177,43.0
178,43.0
179,44.0
180,45.0
181,46.0
182,47.0
183,47.0
184,47.0
185,47.0
186,48.0
187,48.0
188,48.0
189,48.0
190,48.0
191,48.0
192,49.0
193,50.0
194,51.0
195,51.0
196,51.0
197,51.0
198,52.0
199,52.0
200,52.0
201,52.0
202,52.0
203,52.0
204,52.0
205,52.0
206,53.0
207,53.0
208,53.0
209,54.0
210,54.0
211,55.0
212,55.0
213,56.0
214,57.0
215,57.0
216,57.0
217,57.0
218,57.0
219,58.0
220,58.0
221,59.0
222,60.0
223,61.0
224,61.0
225,61.0
226,61.0
227,61.0
228,61.0
229,61.0
230,62.0
231,62.0
232,62.0
233,62.0
234,63.0
235,63.0
236,64.0
237,65.0
238,65.0
239,66.0
240,66.0
241,67.0
242,67.0
243,68.0
244,68.0
245,69.0
