Episodes,Rewards
1,-1388.810546875
2,-1095.7908935546875
3,-1080.3858642578125
4,-1053.5419921875
5,-1340.53515625
6,924.6718139648438
7,-1898.685302734375
8,-985.4616088867188
9,-1205.4727783203125
10,-1361.4107666015625
11,882.2850952148438
12,-1000.4877319335938
13,-2027.6937255859375
14,-1594.53173828125
15,-1733.53759765625
16,-1311.2254638671875
17,-1306.880615234375
18,-1293.1031494140625
19,-1370.572509765625
20,-852.578369140625
21,-947.3115234375
22,-1140.32568359375
23,-1800.9578857421875
24,-1013.2991943359375
25,-884.2691040039062
26,-877.6069946289062
27,-1907.3768310546875
28,942.2669677734375
29,-1259.931884765625
30,-1164.0142822265625
31,-1013.6906127929688
32,-1150.7674560546875
33,985.5020751953125
34,-1319.6436767578125
35,-569.5108642578125
36,-920.7568969726562
37,-1090.349609375
38,-247.29119873046875
39,-521.365478515625
40,-1607.187744140625
41,-1464.9776611328125
42,-1241.73193359375
43,1035.6829833984375
44,-1203.427978515625
45,-1117.60595703125
46,-1144.6282958984375
47,-1298.1123046875
48,-966.9732666015625
49,-1455.372314453125
50,-1215.9566650390625
51,-1829.9649658203125
52,-1273.133544921875
53,-1488.152099609375
54,-1107.9942626953125
55,-1466.56982421875
56,-370.1260070800781
57,1220.7403564453125
58,-614.8749389648438
59,-762.451904296875
60,-1197.267822265625
61,-1134.986328125
62,-746.9149780273438
63,-1028.6217041015625
64,972.723876953125
65,-1029.1876220703125
66,1289.2080078125
67,1121.82177734375
68,-1449.0955810546875
69,-545.9240112304688
70,-1078.2037353515625
71,433.0472106933594
72,988.8894653320312
73,-1352.9913330078125
74,-1022.4889526367188
75,-1112.3018798828125
76,-1170.9473876953125
77,1144.1619873046875
78,-1002.3287963867188
79,1017.608154296875
80,-1252.8192138671875
81,1124.1798095703125
82,-1288.8428955078125
83,-1012.5436401367188
84,-1237.6175537109375
85,-1422.2115478515625
86,-1021.17236328125
87,-970.469482421875
88,1129.7987060546875
89,-1016.3101196289062
90,33.166290283203125
91,-659.1179809570312
92,1046.4072265625
93,-1172.9891357421875
94,-949.0789794921875
95,-1199.802001953125
96,-977.8905029296875
97,-2389.63720703125
98,-1886.12646484375
99,1137.5064697265625
100,-517.3617553710938
101,-1188.262451171875
102,-517.4660034179688
103,-1282.6265869140625
104,-1595.4814453125
105,-790.9876708984375
106,812.301513671875
107,1072.81005859375
108,-976.4776000976562
109,-986.99951171875
110,-845.87548828125
111,-950.9786987304688
112,-283.0389099121094
113,-1448.865234375
114,-1011.22119140625
115,1074.9613037109375
116,-1116.3731689453125
117,1151.20263671875
118,-2071.8251953125
119,-775.7796020507812
120,-1952.928466796875
121,-823.5987548828125
122,-136.66250610351562
123,-1454.754150390625
124,-865.8836059570312
125,1152.1009521484375
126,-1295.0777587890625
127,833.3135986328125
128,-755.896484375
129,-450.04010009765625
130,1001.23583984375
131,1059.4095458984375
132,-1038.1575927734375
133,94.68297576904297
134,-1072.906005859375
135,1060.293212890625
136,-147.24838256835938
137,61.66986083984375
138,-1177.1485595703125
139,1366.9293212890625
140,-465.2993469238281
141,99.82772064208984
142,-742.4942016601562
143,-1457.6812744140625
144,1099.8380126953125
145,-73.52067565917969
146,-1220.51708984375
147,1336.3941650390625
148,-994.374755859375
149,-1327.6739501953125
150,-1226.2344970703125
151,1038.154296875
152,1324.8599853515625
153,-563.1541137695312
154,1111.3687744140625
155,1199.6278076171875
156,562.9507446289062
157,1192.6796875
158,-329.6483154296875
159,-520.002197265625
160,992.55908203125
161,-966.380615234375
162,766.3798828125
163,-1258.6715087890625
164,-1332.25
165,-597.3553466796875
166,-1066.465576171875
167,-1381.7666015625
168,1054.5372314453125
169,-726.33984375
170,1215.5377197265625
171,1027.5999755859375
172,972.25830078125
173,-1194.16845703125
174,-1073.086181640625
175,-930.4036254882812
176,-1296.7803955078125
177,931.015380859375
