Episodes,Rewards
1,-2275.0
2,-1945.0
3,-1415.0
4,-2150.0
5,-2425.0
6,830.0
7,-2775.0
8,-1045.0
9,-2135.0
10,-2365.0
11,-1160.0
12,-2225.0
13,-1270.0
14,-1245.0
15,-2500.0
16,-3325.0
17,-2410.0
18,-1475.0
19,-2810.0
20,-2500.0
21,-1465.0
22,-2500.0
23,-1170.0
24,-2790.0
25,-2500.0
26,595.0
27,-325.0
28,-2125.0
29,-2500.0
30,-1160.0
31,-2500.0
32,-2500.0
33,-3320.0
34,-2735.0
35,-2500.0
36,-2500.0
37,320.0
38,-3440.0
39,-2500.0
40,-970.0
41,-2500.0
42,-2500.0
43,765.0
44,-1555.0
45,-2370.0
46,-2500.0
47,-1240.0
48,-2500.0
49,-2500.0
50,-2500.0
51,-2500.0
52,-3305.0
53,125.0
54,-2500.0
55,-2500.0
56,-1675.0
57,-2440.0
58,-2500.0
59,-2500.0
60,-2500.0
61,-1610.0
62,-1870.0
63,-1490.0
64,-2500.0
65,-1490.0
66,-2915.0
67,-2500.0
68,-1920.0
69,-2500.0
70,-1135.0
71,-2220.0
72,-1930.0
73,-2910.0
74,-1555.0
75,635.0
76,-1405.0
77,-2495.0
78,-1865.0
79,-1930.0
80,-2280.0
81,955.0
82,-2715.0
83,-2450.0
84,-1485.0
85,-2500.0
86,1000.0
87,-2615.0
88,-1155.0
89,-1720.0
90,-1735.0
91,-1270.0
92,-2210.0
93,-1275.0
94,-1565.0
95,-1840.0
96,-1530.0
97,-2455.0
98,-2610.0
99,-2500.0
100,-2500.0
101,-2500.0
102,-2500.0
103,-1750.0
104,-1375.0
105,-2645.0
106,-1690.0
107,-2500.0
108,-1420.0
109,370.0
110,-2595.0
111,-2500.0
112,-1410.0
113,-1660.0
114,-2230.0
115,-3225.0
116,-2500.0
117,-1665.0
118,-1245.0
119,-2930.0
120,-2500.0
121,-2500.0
122,-1905.0
123,-2500.0
124,-2840.0
125,-2500.0
126,-2565.0
127,-2115.0
128,-1445.0
129,-1980.0
130,-2290.0
131,-1675.0
132,-1245.0
133,-1645.0
134,-1345.0
135,-2500.0
136,-2500.0
137,-2690.0
138,-2500.0
139,-2500.0
140,-235.0
141,-3405.0
142,-2500.0
143,-2500.0
144,-3355.0
145,-2500.0
146,-2500.0
147,-2500.0
148,-1465.0
149,-2500.0
150,-2500.0
151,-3235.0
152,-2395.0
153,-1175.0
154,-2500.0
155,880.0
156,-1600.0
157,-1500.0
158,1000.0
159,-1385.0
160,-1855.0
161,-2500.0
162,-2500.0
163,-2640.0
164,-2500.0
165,-2170.0
166,-2500.0
167,-2500.0
168,-2500.0
169,-2500.0
170,-3105.0
171,-1420.0
172,-1320.0
173,-2670.0
174,-2205.0
175,60.0
176,-2500.0
177,-1840.0
178,-2500.0
179,635.0
180,-2500.0
181,-3200.0
182,-3195.0
183,-2500.0
184,-2500.0
185,-2500.0
186,-2500.0
187,-2500.0
188,-2500.0
189,-2500.0
190,-2500.0
191,-2500.0
192,-3195.0
193,-2500.0
194,-1225.0
195,-2500.0
196,-1250.0
197,-2500.0
198,-2500.0
199,-1980.0
200,-2500.0
201,1000.0
202,-2995.0
203,-2500.0
204,-2665.0
205,-2500.0
206,-1660.0
207,-2590.0
208,-2500.0
209,-1265.0
210,-2500.0
211,360.0
212,215.0
213,-2500.0
214,-1360.0
215,-2500.0
216,-1520.0
217,-1885.0
218,-1310.0
219,-2125.0
220,-2865.0
221,-860.0
222,1000.0
223,-2500.0
224,395.0
225,-2500.0
226,-2500.0
227,-580.0
228,-2500.0
229,-2500.0
230,-2500.0
231,-2500.0
232,-2500.0
233,-1350.0
234,-2500.0
235,-3255.0
236,-230.0
237,-2500.0
238,-2500.0
239,-1015.0
240,-2500.0
241,-1135.0
242,-2500.0
243,-2080.0
244,-2500.0
245,-1205.0
246,-2500.0
247,-2500.0
248,-2500.0
249,-2500.0
250,-1415.0
251,-3420.0
252,-2325.0
253,-1875.0
254,-1205.0
255,540.0
256,-3040.0
257,-1425.0
258,-1110.0
259,-2500.0
260,-2500.0
261,-2500.0
262,-2500.0
263,-2500.0
264,-2500.0
265,-2500.0
266,-2195.0
267,335.0
268,-3365.0
269,-2500.0
270,-1635.0
271,-2500.0
272,-2500.0
273,-2500.0
274,-2500.0
275,-2500.0
276,-2500.0
277,-1200.0
278,-2190.0
279,-2500.0
280,-1875.0
281,1000.0
282,-2500.0
283,-3240.0
284,-2585.0
285,-2500.0
286,-2500.0
287,-2500.0
288,-1265.0
289,-2500.0
290,-2500.0
291,-1785.0
292,-2500.0
293,-2500.0
294,-2500.0
295,-2500.0
296,760.0
297,-2500.0
298,-1725.0
299,-2500.0
300,-1945.0
301,-2320.0
302,-2670.0
303,-3020.0
304,-2190.0
305,-2500.0
306,-2500.0
307,-2675.0
308,-1335.0
309,-1910.0
310,-3275.0
311,-1375.0
312,-2500.0
313,-995.0
314,-2500.0
315,-2500.0
316,-2500.0
317,-2500.0
318,-2500.0
319,-2500.0
320,-2500.0
321,-1430.0
322,-2500.0
323,-1630.0
324,-2500.0
