Episodes,Cumulative Number of Goals
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,2.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,3.0
37,4.0
38,4.0
39,4.0
40,5.0
41,5.0
42,5.0
43,6.0
44,6.0
45,6.0
46,6.0
47,6.0
48,6.0
49,6.0
50,6.0
51,6.0
52,6.0
53,7.0
54,7.0
55,7.0
56,7.0
57,7.0
58,7.0
59,7.0
60,7.0
61,7.0
62,7.0
63,7.0
64,7.0
65,7.0
66,7.0
67,7.0
68,7.0
69,7.0
70,7.0
71,7.0
72,7.0
73,7.0
74,7.0
75,8.0
76,8.0
77,8.0
78,8.0
79,8.0
80,8.0
81,9.0
82,9.0
83,9.0
84,9.0
85,9.0
86,10.0
87,10.0
88,10.0
89,10.0
90,10.0
91,10.0
92,10.0
93,10.0
94,10.0
95,10.0
96,10.0
97,10.0
98,10.0
99,10.0
100,10.0
101,10.0
102,10.0
103,10.0
104,10.0
105,10.0
106,10.0
107,10.0
108,10.0
109,11.0
110,11.0
111,11.0
112,11.0
113,11.0
114,11.0
115,11.0
116,11.0
117,11.0
118,11.0
119,11.0
120,11.0
121,11.0
122,11.0
123,11.0
124,11.0
125,11.0
126,11.0
127,11.0
128,11.0
129,11.0
130,11.0
131,11.0
132,11.0
133,11.0
134,11.0
135,11.0
136,11.0
137,11.0
138,11.0
139,11.0
140,12.0
141,12.0
142,12.0
143,12.0
144,12.0
145,12.0
146,12.0
147,12.0
148,12.0
149,12.0
150,12.0
151,12.0
152,12.0
153,12.0
154,12.0
155,13.0
156,13.0
157,13.0
158,14.0
159,14.0
160,14.0
161,14.0
162,14.0
163,14.0
164,14.0
165,14.0
166,14.0
167,14.0
168,14.0
169,14.0
170,14.0
171,14.0
172,14.0
173,14.0
174,14.0
175,15.0
176,15.0
177,15.0
178,15.0
179,16.0
180,16.0
181,16.0
182,16.0
183,16.0
184,16.0
185,16.0
186,16.0
187,16.0
188,16.0
189,16.0
190,16.0
191,16.0
192,16.0
193,16.0
194,16.0
195,16.0
196,16.0
197,16.0
198,16.0
199,16.0
200,16.0
201,17.0
202,17.0
203,17.0
204,17.0
205,17.0
206,17.0
207,17.0
208,17.0
209,17.0
210,17.0
211,18.0
212,19.0
213,19.0
214,19.0
215,19.0
216,19.0
217,19.0
218,19.0
219,19.0
220,19.0
221,20.0
222,21.0
223,21.0
224,22.0
225,22.0
226,22.0
227,23.0
228,23.0
229,23.0
230,23.0
231,23.0
232,23.0
233,24.0
234,24.0
235,24.0
236,25.0
237,25.0
238,25.0
239,26.0
240,26.0
241,26.0
242,26.0
243,26.0
244,26.0
245,26.0
246,26.0
247,26.0
248,26.0
249,26.0
250,26.0
251,26.0
252,26.0
253,26.0
254,26.0
255,27.0
256,27.0
257,27.0
258,27.0
259,27.0
260,27.0
261,27.0
262,27.0
263,27.0
264,27.0
265,27.0
266,27.0
267,28.0
268,28.0
269,28.0
270,28.0
271,28.0
272,28.0
273,28.0
274,28.0
275,28.0
276,28.0
277,28.0
278,28.0
279,28.0
280,28.0
281,29.0
282,29.0
283,29.0
284,29.0
285,29.0
286,29.0
287,29.0
288,29.0
289,29.0
290,29.0
291,29.0
292,29.0
293,29.0
294,29.0
295,29.0
296,30.0
297,30.0
298,30.0
299,30.0
300,30.0
301,30.0
302,30.0
303,30.0
304,30.0
305,30.0
306,30.0
307,30.0
308,30.0
309,30.0
310,30.0
311,30.0
312,30.0
313,31.0
314,31.0
315,31.0
316,31.0
317,31.0
318,31.0
319,31.0
320,31.0
321,31.0
322,31.0
323,31.0
324,31.0
