Episodes,Rewards
1,-1625.0
2,-1145.0
3,-1140.0
4,890.0
5,-1750.0
6,880.0
7,-1840.0
8,-2090.0
9,-1170.0
10,-1300.0
11,-1545.0
12,-1705.0
13,-1495.0
14,-1055.0
15,240.0
16,-1245.0
17,-2340.0
18,-1045.0
19,-1235.0
20,-1160.0
21,-2115.0
22,-1880.0
23,-1225.0
24,470.0
25,-1210.0
26,-1455.0
27,-1755.0
28,-1650.0
29,-1785.0
30,-1205.0
31,-1535.0
32,-3090.0
33,-1890.0
34,-2005.0
35,-2500.0
36,-2500.0
37,-2390.0
38,-3465.0
39,-2500.0
40,-2500.0
41,-2500.0
42,-2950.0
43,-2135.0
44,-1855.0
45,-2500.0
46,-2500.0
47,-2500.0
48,-3270.0
49,335.0
50,480.0
51,-2855.0
52,-3105.0
53,-170.0
54,-1635.0
55,-1740.0
56,-1600.0
57,-1620.0
58,-2150.0
59,-1440.0
60,-1590.0
61,-1355.0
62,-1440.0
63,-2070.0
64,-2060.0
65,-1430.0
66,-1315.0
67,-1630.0
68,-2060.0
69,510.0
70,605.0
71,-1930.0
72,695.0
73,-1055.0
74,105.0
75,-1045.0
76,-1055.0
77,-1150.0
78,-1830.0
79,-1090.0
80,-3240.0
81,-1055.0
82,-1315.0
83,-1175.0
84,-1525.0
85,-1510.0
86,-1055.0
87,-1055.0
88,-2500.0
89,-1200.0
90,-1395.0
91,-1265.0
92,-1095.0
93,-1835.0
94,-1480.0
95,-1345.0
96,-1115.0
97,-1855.0
98,-2500.0
99,-1315.0
100,-1605.0
101,-2230.0
102,-1950.0
103,-1155.0
104,-1075.0
105,-1130.0
106,-1505.0
107,-2625.0
108,-1295.0
109,-1140.0
110,-3310.0
111,330.0
112,950.0
113,-2475.0
114,-2995.0
115,-235.0
116,-1065.0
117,-2500.0
118,-1250.0
119,-2565.0
120,-1460.0
121,-740.0
122,-1135.0
123,-1710.0
124,-1845.0
125,-2500.0
126,825.0
127,-2500.0
128,-1220.0
129,-2500.0
130,-2500.0
131,-2500.0
132,-1745.0
133,-2500.0
134,-2360.0
135,480.0
136,-1175.0
137,-2500.0
138,-2500.0
139,-2500.0
140,-2500.0
141,-2500.0
142,-2500.0
143,-2500.0
144,-2500.0
145,-2500.0
146,-2500.0
147,-2500.0
148,-2565.0
149,-2500.0
150,-780.0
151,-2500.0
152,-1195.0
153,-1095.0
154,-3215.0
155,-2500.0
156,150.0
157,-2500.0
158,-2500.0
159,-2500.0
160,-2500.0
161,-2500.0
162,-2500.0
163,-1250.0
164,-3055.0
165,-2725.0
166,-2500.0
167,-230.0
168,-2500.0
169,-2500.0
170,-2500.0
171,-2500.0
172,-2500.0
173,-2500.0
174,-2765.0
175,-1295.0
176,-3315.0
177,-2435.0
178,-1265.0
179,-2500.0
180,-1435.0
181,-2500.0
182,-2500.0
183,-2500.0
184,-1350.0
185,-2565.0
186,-2500.0
187,-125.0
188,-2500.0
189,-1550.0
190,-1295.0
191,-2500.0
192,-1940.0
193,-2500.0
194,-2500.0
195,-2500.0
196,-2500.0
197,-2500.0
198,505.0
199,-2500.0
200,-2500.0
201,-2500.0
202,690.0
203,-2500.0
204,-2500.0
205,-1350.0
206,-2500.0
207,805.0
208,-2500.0
209,-390.0
210,-2500.0
211,-2410.0
212,-2500.0
213,-3105.0
214,685.0
215,-2280.0
216,-2500.0
217,-1445.0
218,580.0
219,-2210.0
220,-2500.0
221,-1370.0
222,-1940.0
223,-2280.0
224,-1065.0
225,-2130.0
226,-2500.0
227,-1080.0
228,-2500.0
229,-2500.0
230,-1115.0
231,685.0
232,265.0
233,30.0
234,-1255.0
235,-1185.0
236,705.0
237,-2500.0
238,330.0
239,-2500.0
240,275.0
241,825.0
242,-3010.0
243,445.0
244,-1545.0
245,-150.0
246,640.0
247,-1805.0
248,-1265.0
249,-2500.0
250,-2500.0
251,-2240.0
252,-2500.0
253,-2500.0
254,-1675.0
255,-1650.0
256,735.0
257,-2500.0
258,-2635.0
259,-2530.0
260,-2500.0
261,-2500.0
262,-65.0
263,-1530.0
264,-3480.0
265,-1555.0
266,-1965.0
267,845.0
268,-2020.0
269,-1755.0
270,-2635.0
271,-2500.0
272,-2500.0
273,1000.0
274,545.0
275,-1135.0
276,-1370.0
277,-1360.0
278,-2500.0
279,580.0
280,195.0
281,-2620.0
282,-135.0
283,-1490.0
284,-2500.0
285,-2500.0
286,-1490.0
287,345.0
288,-1085.0
289,770.0
290,-2300.0
291,-2500.0
292,-1990.0
293,-1340.0
294,-835.0
295,150.0
296,-1450.0
297,-2270.0
298,-1085.0
299,-1125.0
300,-1265.0
301,265.0
302,-2500.0
303,-890.0
304,-1780.0
305,-1480.0
306,-1615.0
307,-3420.0
308,-3015.0
309,-1175.0
310,-1410.0
311,-1320.0
312,590.0
313,-2500.0
314,-1120.0
315,585.0
316,-2710.0
317,-2305.0
318,-2500.0
319,-860.0
320,-3065.0
321,-2660.0
322,115.0
323,-2500.0
324,-2340.0
325,-1745.0
326,-1335.0
327,360.0
328,-1260.0
329,-1570.0
330,-2500.0
331,-1630.0
332,-645.0
333,-2370.0
334,-1530.0
335,-2500.0
336,-2500.0
337,-1460.0
338,-1535.0
339,-1570.0
340,-2500.0
341,735.0
342,-1985.0
343,-1810.0
344,-1325.0
345,-1810.0
346,-1170.0
347,-2190.0
348,-2500.0
349,-1210.0
350,-2520.0
351,830.0
352,-2420.0
353,235.0
354,-2825.0
355,-2995.0
356,465.0
357,555.0
358,-1420.0
359,-1135.0
360,-1475.0
361,-2775.0
362,-2035.0
363,770.0
364,-1300.0
365,550.0
366,-1420.0
367,-2870.0
368,-2295.0
369,-2500.0
