Episodes,Rewards
1,-1231.9033203125
2,-3000.308837890625
3,-1911.9215087890625
4,-3028.319091796875
5,-4189.71484375
6,-5736.0390625
7,-6712.3408203125
8,-7740.6435546875
9,-8931.87890625
10,-8960.28125
11,-1235.40625
12,-2580.357666015625
13,-3895.0810546875
14,-5207.1611328125
15,-7012.65283203125
16,-7463.90869140625
17,-1159.2078857421875
18,-2169.174560546875
19,-3518.887939453125
20,-4656.85986328125
21,-5924.546875
22,-7086.0830078125
23,-7993.90576171875
24,-8189.82373046875
25,-1034.6121826171875
26,-2355.9580078125
27,-3932.27490234375
28,-5220.09521484375
29,-6672.22998046875
30,-6891.48779296875
31,-1074.8292236328125
32,-2174.558837890625
33,-3290.414306640625
34,-4561.1064453125
35,-5679.275390625
36,-6823.212890625
37,-7845.921875
38,-9040.4150390625
39,-10255.9521484375
40,-11352.630859375
41,-12634.150390625
42,-13776.849609375
43,-13789.6728515625
44,-1151.0418701171875
45,-2686.69580078125
46,-3833.115478515625
47,-5057.3798828125
48,-6264.56005859375
49,-7695.1484375
50,-8638.634765625
51,-7584.39990234375
52,-8520.982421875
53,-8735.3505859375
54,-1446.597900390625
55,-2614.506591796875
56,-3837.099853515625
57,-5138.18896484375
58,-6172.306640625
59,-7465.98828125
60,-8534.6748046875
61,-9339.513671875
62,-9392.95703125
63,-1171.7677001953125
64,-2200.13232421875
65,-3341.8134765625
66,-4399.0029296875
67,-5514.27978515625
68,-6639.27880859375
69,-7775.7666015625
70,-9081.28515625
71,-7940.32666015625
72,-8041.306640625
73,970.69873046875
74,-249.7926483154297
75,-1291.5452880859375
76,-2878.66748046875
77,-4076.118408203125
78,-5341.59130859375
79,-6752.35302734375
80,-7935.51904296875
81,-8058.5
82,993.6273193359375
83,-87.70657348632812
84,-1001.6918334960938
85,-2353.061767578125
86,-3624.960205078125
87,-4689.783203125
88,-6111.7509765625
89,-6123.8984375
90,-1298.345703125
91,-2252.556884765625
92,-3419.3486328125
93,-4435.42236328125
94,-5579.4931640625
95,-6754.06494140625
96,-8155.3369140625
